0,2023,2022,2021,2020,2019,2018
营业总收入,9.25亿,10.25亿,8.71亿,6.81亿,6.32亿,6.12亿
同比(%),34.92,17.62,27.82,7.85,3.25,-
利润总额,6711.33万,9119.75万,8596.23万,9415.73万,7757.50万,5699.69万
净利润,6237.56万,9125.69万,7841.66万,8273.75万,6885.74万,5032.39万
同比(%),-0.62,16.37,-5.22,20.16,36.83,-
资产总计,15.89亿,13.54亿,8.47亿,6.65亿,5.43亿,4.87亿
同比(%),26.66,59.97,27.32,22.49,11.54,-
负债总计,7.16亿,5.22亿,3.42亿,2.38亿,1.99亿,2.12亿
所有者权益总计,8.73亿,8.32亿,5.05亿,4.26亿,3.44亿,2.75亿
同比(%),8.7,64.79,18.39,24.07,25.05,-
经营活动产生的现金流量净额,-6970.43万,-7885.84万,1413.32万,4735.06万,5722.00万,745.96万
基本每股收益(元),0.39,0.64,0.65,0.69,0.57,0.42
稀释每股收益(元),0.39,0.64,0.65,0.69,0.57,0.42
每股净资产(元),5.44,5.20,4.21,3.55,2.86,2.29
每股经营现金流(元),-0.44,-0.49,0.12,0.39,0.48,0.06
加权净资产收益率(%),7.32,13.06,16.84,21.49,22.26,20.15
毛利率(%),21.77,21.24,22.46,28.83,29.29,26.30
净利率(%),6.74,8.91,9.00,12.14,10.90,8.22
资产负债率(%),45.04,38.57,40.36,35.86,36.68,43.52
流动比率,1.92,2.06,2.01,2.37,2.27,1.85
速动比率,1.35,1.58,1.49,1.91,1.78,1.40
