0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2.26亿,6.49亿,7.93亿,6.09亿,5.57亿,4.65亿,3.29亿,1.75亿,1.45亿,1.19亿
同比(%),-20.24,-18.1,30.23,9.22,19.79,41.59,87.89,20.76,22.03,32.47
利润总额,806.27万,-2006.00万,5210.12万,5792.21万,5988.74万,6097.54万,3914.07万,2330.99万,2039.05万,765.46万
净利润,677.86万,-1413.59万,4676.28万,5177.04万,5272.17万,5373.22万,3360.23万,2041.35万,1776.03万,682.40万
同比(%),329.83,-130.23,-9.67,-1.8,-1.88,59.91,64.61,14.94,160.26,72.05
资产总计,11.92亿,11.62亿,11.39亿,8.39亿,6.79亿,6.16亿,4.54亿,2.55亿,1.75亿,1.52亿
同比(%),-,1.97,35.8,23.54,10.26,35.52,77.87,45.75,15.09,-13.85
负债总计,7.67亿,7.40亿,7.18亿,4.61亿,3.51亿,3.44亿,2.37亿,1.67亿,1.07亿,1.11亿
所有者权益总计,4.25亿,4.22亿,4.21亿,3.78亿,3.28亿,2.72亿,2.18亿,8883.56万,6842.21万,4127.27万
同比(%),-,0.15,11.36,15.46,20.4,25.06,144.99,29.83,65.78,19.81
经营活动产生的现金流量净额,2686.92万,-1389.01万,1034.06万,-2263.37万,2870.21万,-7871.92万,1471.68万,-657.62万,2533.05万,3066.34万
基本每股收益(元),0.09,-0.19,0.62,0.69,0.70,0.72,0.51,0.34,0.30,0.27
稀释每股收益(元),0.09,-0.19,0.62,0.69,0.70,0.72,0.51,0.34,0.30,0.27
每股净资产(元),5.58,5.54,5.62,5.05,4.37,3.63,2.90,1.48,1.14,1.63
每股经营现金流(元),0.09,-0.13,-0.35,0.05,0.51,-0.63,1.05,-0.01,0.03,0.08
加权净资产收益率(%),1.59,-3.49,11.47,14.21,17.34,21.78,23.35,23.83,32.56,18.35
毛利率(%),16.53,11.65,18.37,19.83,19.61,25.37,24.31,28.43,29.77,24.74
净利率(%),2.99,-2.18,5.90,8.50,9.46,11.55,10.22,11.67,12.26,5.75
资产负债率(%),0.00,63.67,63.01,54.89,51.74,55.80,52.11,65.23,60.97,72.90
流动比率,0.00,1.42,1.47,1.71,1.85,1.71,1.85,1.47,1.58,1.34
速动比率,0.00,0.78,0.76,1.19,1.32,1.18,1.29,0.97,1.35,1.09
