0,2020,2019,2018,2017,2016,2015,2014
营业总收入,46.43亿,131.05亿,138.70亿,195.65亿,123.05亿,59.58亿,68.73亿
同比(%),-64.57,-5.52,-29.11,59,106.54,-13.32,97.58
利润总额,9.85亿,32.89亿,22.17亿,34.52亿,17.23亿,9.64亿,10.91亿
净利润,6.86亿,24.37亿,15.93亿,25.85亿,12.99亿,7.26亿,8.38亿
同比(%),-71.84,52.98,-38.36,98.93,79.03,-13.43,190.43
资产总计,355.83亿,394.65亿,478.83亿,439.65亿,515.96亿,356.74亿,312.60亿
同比(%),-9.84,-17.58,8.91,-14.79,44.63,14.12,38.97
负债总计,234.23亿,279.58亿,388.14亿,364.96亿,467.15亿,320.76亿,283.88亿
所有者权益总计,121.60亿,115.07亿,90.69亿,74.69亿,48.81亿,35.98亿,28.72亿
同比(%),5.68,26.89,21.43,53.02,35.66,25.27,41.37
经营活动产生的现金流量净额,1.18亿,6.79亿,34.15亿,9.14亿,56.59亿,23.88亿,-10.16亿
每股净资产(元),242.59,229.52,180.52,148.30,96.67,70.86,57.10
每股经营现金流(元),2.36,13.58,68.30,18.28,113.18,47.75,-20.32
加权净资产收益率(%),5.82,21.23,17.77,34.81,26.70,19.42,29.45
毛利率(%),31.14,37.47,28.01,27.09,25.68,33.73,29.74
净利率(%),14.78,18.60,11.49,13.21,10.56,12.18,12.20
资产负债率(%),65.83,70.84,81.06,83.01,90.54,89.91,90.81
流动比率,1.52,1.38,1.26,1.32,1.22,1.13,1.20
速动比率,0.95,0.86,0.76,0.70,0.46,0.24,0.27
