0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,65.60亿,130.71亿,149.23亿,140.57亿,125.31亿,124.04亿,168.76亿,246.71亿,126.71亿,76.16亿
同比(%),-26.07,-12.41,6.16,12.17,1.03,-26.5,-31.59,94.71,66.37,28.27
利润总额,-77.92亿,-145.10亿,-130.90亿,-44.97亿,24.06亿,13.46亿,40.49亿,42.58亿,31.94亿,22.99亿
净利润,-73.84亿,-132.91亿,-130.88亿,-47.20亿,14.26亿,10.33亿,30.93亿,30.57亿,23.66亿,16.64亿
同比(%),-177.62,-1.56,-177.26,-430.91,38.08,-66.59,1.17,29.18,42.19,41.16
资产总计,906.75亿,1051.90亿,1102.45亿,1809.91亿,1778.75亿,2120.97亿,1877.75亿,1678.36亿,1183.56亿,708.89亿
同比(%),-16.56,-4.59,-39.09,1.75,-16.14,12.95,11.88,41.81,66.96,74.01
负债总计,981.67亿,1042.96亿,964.72亿,1460.10亿,1447.58亿,1836.67亿,1602.79亿,1429.42亿,1031.94亿,583.74亿
所有者权益总计,-74.92亿,8.94亿,137.73亿,349.80亿,331.16亿,284.30亿,274.96亿,248.94亿,151.63亿,125.15亿
同比(%),-163.67,-93.51,-60.63,5.63,16.48,3.4,10.45,64.18,21.16,29.68
经营活动产生的现金流量净额,1.34亿,5.75亿,106.25亿,83.36亿,55.71亿,92.07亿,-192.58亿,-152.29亿,-1.79亿,7.28亿
基本每股收益(元),-1.33,-2.22,-2.17,-0.89,0.21,0.18,0.56,0.60,0.49,0.34
稀释每股收益(元),-1.33,-2.22,-2.17,-0.89,0.21,0.18,0.56,0.60,0.49,0.34
每股净资产(元),-2.32,-1.05,1.11,3.20,4.13,3.87,3.86,3.53,2.77,2.06
每股经营现金流(元),0.03,0.11,2.04,1.60,1.07,1.77,-3.71,-2.93,-0.10,0.14
加权净资产收益率(%),-,-,-101.29,-24.10,5.28,4.64,15.14,18.17,19.00,14.03
毛利率(%),43.39,48.00,60.20,51.72,48.22,50.43,38.13,41.50,48.21,56.53
净利率(%),-297.60,-186.13,-155.07,-214.85,46.70,20.63,36.88,16.42,28.15,27.33
资产负债率(%),108.26,99.15,87.51,80.67,81.38,86.60,85.36,85.17,85.24,82.04
流动比率,0.69,0.74,0.77,1.19,1.34,1.35,1.51,2.33,2.06,1.92
速动比率,0.33,0.26,0.21,0.68,0.75,0.52,0.57,1.09,1.02,0.73
