0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,19.07亿,88.03亿,49.11亿,36.15亿,236.21亿,309.85亿,243.31亿,207.28亿,148.13亿,83.72亿
同比(%),-63.77,79.24,35.87,-84.7,-23.77,27.35,17.38,39.93,76.93,36.61
利润总额,-37.28亿,-55.81亿,-34.73亿,-50.93亿,5054.25万,50.76亿,29.93亿,23.10亿,16.78亿,9.47亿
净利润,-37.62亿,-55.70亿,-40.52亿,-51.07亿,7.28亿,39.11亿,23.33亿,17.14亿,12.65亿,7.12亿
同比(%),-19.54,-37.47,20.65,-801.34,-81.38,67.61,36.15,35.54,77.52,1.49
资产总计,2137.45亿,2145.98亿,2191.24亿,2168.33亿,2243.09亿,2431.36亿,2064.21亿,1233.65亿,847.82亿,623.95亿
同比(%),-1.45,-2.07,1.06,-3.33,-7.74,17.79,67.33,45.51,35.88,74.8
负债总计,2094.71亿,2061.82亿,2043.30亿,1967.66亿,1905.55亿,2112.47亿,1813.02亿,1016.49亿,677.13亿,556.73亿
所有者权益总计,42.74亿,84.16亿,147.94亿,200.66亿,337.54亿,318.89亿,251.19亿,217.16亿,170.68亿,67.22亿
同比(%),-61.74,-43.11,-26.27,-40.55,5.85,26.95,15.67,27.23,153.91,32.06
经营活动产生的现金流量净额,-2.47亿,-2.22亿,5.29亿,-29.49亿,236.15亿,139.31亿,-125.53亿,-101.41亿,-23.51亿,-166.26亿
基本每股收益(元),-1.50,-2.16,-1.61,-2.01,0.19,1.03,1.71,1.37,1.23,0.77
稀释每股收益(元),-1.50,-2.16,-1.61,-2.01,0.19,1.03,1.71,1.37,1.23,0.77
每股净资产(元),0.22,1.79,4.04,5.89,7.92,14.83,12.94,11.44,10.80,3.76
每股经营现金流(元),-0.10,-0.09,0.21,-1.18,9.49,11.19,-10.09,-8.15,-1.89,-16.34
加权净资产收益率(%),-149.07,-74.06,-32.48,-29.25,2.37,14.40,11.19,12.36,20.63,22.53
毛利率(%),17.44,3.55,7.02,11.78,16.16,30.36,27.63,21.58,29.90,31.75
净利率(%),-197.27,-63.28,-82.51,-141.28,3.08,12.62,9.59,8.27,8.54,8.51
资产负债率(%),98.00,96.08,93.25,90.75,84.95,86.88,87.83,82.40,79.87,89.22
流动比率,0.89,0.92,1.19,1.28,1.20,1.59,2.03,2.48,2.24,1.89
速动比率,0.07,0.07,0.10,0.13,0.20,0.24,0.41,0.44,0.48,0.26
