0,2023,2022,2021,2020,2019,2018
营业总收入,3.40亿,8.02亿,8.50亿,6.83亿,5.46亿,3.42亿
同比(%),-13.05,-5.64,24.35,25.19,59.83,-
利润总额,4694.20万,9496.33万,1.12亿,1.11亿,4718.79万,4056.33万
净利润,3231.48万,7121.70万,8628.19万,8843.60万,2219.54万,2401.91万
同比(%),-2.48,-17.46,-2.44,298.44,-7.59,-
资产总计,10.06亿,10.25亿,11.25亿,8.93亿,5.11亿,2.24亿
同比(%),-10.46,-8.86,25.99,74.62,128.68,-
负债总计,3.18亿,3.70亿,5.25亿,3.77亿,2.50亿,1.73亿
所有者权益总计,6.88亿,6.55亿,6.00亿,5.16亿,2.61亿,5098.91万
同比(%),10.11,9.22,16.22,97.29,412.83,-
经营活动产生的现金流量净额,-1141.16万,3545.80万,-1.57亿,-1414.47万,63.05万,9607.81万
基本每股收益(元),0.61,1.47,1.61,1.89,-,-
稀释每股收益(元),0.61,1.47,1.61,1.89,-,-
每股净资产(元),12.88,12.25,11.13,9.52,32.65,17.00
每股经营现金流(元),-0.21,0.65,-2.87,-0.26,0.08,32.03
加权净资产收益率(%),4.83,12.48,15.59,27.14,13.38,57.35
毛利率(%),41.87,38.94,37.25,36.43,39.60,38.94
净利率(%),9.51,8.88,10.15,12.94,4.07,7.03
资产负债率(%),31.59,36.11,46.69,42.20,48.84,77.19
流动比率,2.89,2.58,1.85,2.19,1.85,1.16
速动比率,2.84,2.51,1.80,2.15,1.82,1.16
