0,2022,2021,2020,2019,2018
营业总收入,101.34亿,93.64亿,45.65亿,96.73亿,113.91亿
同比(%),8.22,105.14,-52.81,-15.08,-
利润总额,34.44亿,21.66亿,7.57亿,34.82亿,33.62亿
净利润,15.88亿,18.42亿,13.77亿,28.52亿,33.62亿
同比(%),-13.77,33.79,-51.74,-15.15,-
资产总计,548.20亿,543.71亿,475.97亿,384.86亿,337.75亿
同比(%),0.83,14.23,23.67,13.95,-
负债总计,474.62亿,448.75亿,345.22亿,267.88亿,239.45亿
所有者权益总计,73.58亿,94.96亿,130.75亿,116.98亿,98.30亿
同比(%),-22.51,-27.37,11.77,19,-
经营活动产生的现金流量净额,26.84亿,77.42亿,-14.78亿,-26.71亿,-6.15亿
每股净资产(元),2.50,3.23,4.45,5.89,4.95
每股经营现金流(元),0.91,2.64,-0.50,-1.35,-0.31
加权净资产收益率(%),18.85,16.32,11.11,26.50,34.20
毛利率(%),57.34,68.21,55.39,66.07,67.72
净利率(%),15.67,19.67,30.16,29.49,29.51
资产负债率(%),86.58,82.54,72.53,69.60,70.90
流动比率,1.03,1.08,1.24,1.41,1.24
速动比率,0.90,0.90,1.08,1.23,1.00
