0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,25.96亿,39.79亿,60.83亿,67.23亿,66.50亿,75.34亿,82.12亿,62.70亿,47.11亿,33.08亿
同比(%),-12.16,-34.58,-9.52,1.1,-11.73,-8.26,30.97,33.1,42.39,29.07
利润总额,1012.39万,-2.74亿,-11.46亿,3.20亿,2.71亿,7.49亿,14.91亿,11.14亿,7.55亿,5.63亿
净利润,-540.08万,-3.40亿,-11.28亿,1.33亿,9674.19万,4.54亿,10.56亿,7.83亿,5.44亿,4.19亿
同比(%),70.09,69.88,-945.51,37.91,-78.68,-57.03,34.86,43.91,29.84,19.52
资产总计,59.15亿,67.46亿,89.60亿,108.91亿,116.67亿,132.20亿,136.33亿,77.84亿,73.98亿,41.16亿
同比(%),-19.61,-24.71,-17.73,-6.65,-11.75,-3.03,75.14,5.22,79.74,64.79
负债总计,25.06亿,33.08亿,51.84亿,56.27亿,62.44亿,78.03亿,84.45亿,35.16亿,37.54亿,20.28亿
所有者权益总计,34.09亿,34.38亿,37.76亿,52.64亿,54.23亿,54.17亿,51.89亿,42.68亿,36.44亿,20.88亿
同比(%),-9.18,-8.95,-28.26,-2.94,0.11,4.4,21.57,17.12,74.57,17.73
经营活动产生的现金流量净额,3.05亿,6.30亿,10.51亿,7.58亿,15.74亿,9.67亿,-30.26亿,22.94亿,4.51亿,-9.22亿
基本每股收益(元),-0.01,-0.17,-0.57,0.05,0.04,0.20,0.49,0.37,0.27,0.32
稀释每股收益(元),-0.01,-0.17,-0.57,0.05,0.04,0.20,0.49,0.37,0.27,0.32
每股净资产(元),1.63,1.65,1.82,2.54,2.61,2.59,2.48,2.05,2.46,2.65
每股经营现金流(元),0.15,0.31,0.52,0.37,0.77,0.47,-1.48,1.12,0.31,-1.21
加权净资产收益率(%),-0.44,-9.72,-26.12,2.08,1.55,8.03,21.85,19.47,17.67,21.13
毛利率(%),9.22,9.55,15.07,11.92,12.69,21.66,26.53,27.83,32.54,33.82
净利率(%),-0.21,-8.54,-18.55,1.98,1.45,6.02,12.86,12.49,11.55,12.66
资产负债率(%),42.37,49.03,57.85,51.67,53.52,59.02,61.94,45.17,50.74,49.28
流动比率,1.55,1.51,1.65,1.47,1.54,1.36,1.32,1.75,1.68,1.65
速动比率,1.55,1.51,1.62,1.46,1.54,1.36,1.31,1.75,1.68,1.65
