0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,6.71亿,19.93亿,25.67亿,25.65亿,23.40亿,13.63亿,9.39亿,10.00亿,8.64亿,8.45亿
同比(%),-55.55,-22.39,0.1,9.63,71.66,45.08,-6.03,15.76,2.18,22.56
利润总额,4658.37万,7713.29万,1.27亿,2.28亿,2.12亿,1.29亿,1.06亿,1.14亿,9646.15万,1.00亿
净利润,4009.81万,6734.97万,1.08亿,1.89亿,1.83亿,9955.49万,8014.92万,8547.25万,7225.11万,7493.38万
同比(%),-12.25,-37.87,-42.6,3.05,84.05,24.21,-6.23,18.3,-3.58,10.03
资产总计,31.69亿,36.24亿,33.94亿,30.56亿,19.98亿,13.68亿,10.22亿,9.41亿,7.47亿,6.66亿
同比(%),-10.69,6.77,11.06,52.98,46,33.82,8.63,26.03,12.11,46.88
负债总计,14.70亿,18.60亿,17.21亿,14.36亿,12.77亿,8.18亿,5.38亿,5.12亿,3.85亿,4.10亿
所有者权益总计,17.00亿,17.64亿,16.73亿,16.20亿,7.20亿,5.50亿,4.84亿,4.29亿,3.62亿,2.56亿
同比(%),-2.2,5.42,3.29,124.81,31.05,13.48,12.8,18.7,41.4,33.02
经营活动产生的现金流量净额,6843.44万,2.72亿,1.71亿,7051.90万,1.72亿,9603.60万,3136.43万,3107.21万,3177.91万,3481.42万
基本每股收益(元),0.22,0.40,0.72,1.43,1.61,0.88,0.71,0.75,0.66,0.69
稀释每股收益(元),0.22,0.40,0.72,1.43,1.61,0.88,-,-,-,-
每股净资产(元),8.73,9.08,11.05,10.70,6.34,4.84,4.27,3.78,3.19,2.37
每股经营现金流(元),0.38,1.50,1.13,0.47,1.51,0.85,0.28,0.27,0.28,0.32
加权净资产收益率(%),2.31,3.84,6.60,16.01,28.96,19.23,17.47,21.81,24.09,32.86
毛利率(%),14.13,13.93,14.09,16.05,16.10,16.37,18.00,18.71,22.12,22.32
净利率(%),5.98,3.38,4.22,7.36,7.83,7.30,8.53,8.55,8.37,8.87
资产负债率(%),46.38,51.33,50.71,47.00,63.93,59.82,52.62,54.37,51.55,61.59
流动比率,2.68,2.23,1.82,1.98,1.42,1.48,1.56,1.53,1.61,1.37
速动比率,2.67,2.22,1.81,1.97,1.12,1.10,1.25,1.23,1.35,1.07
