0,2018,2017,2016,2015,2014
营业总收入,5.34亿,4.37亿,2.84亿,-,-
同比(%),22.19,53.96,-,-,-
利润总额,6972.87万,5439.43万,3134.51万,-,-
净利润,6113.05万,4565.89万,2338.25万,-,-
同比(%),33.89,95.27,-,-,-
资产总计,6.68亿,4.14亿,1.75亿,1.06亿,-
同比(%),61.5,136.64,65.65,-,-
负债总计,3.59亿,1.68亿,8885.65万,6381.42万,-
所有者权益总计,3.10亿,2.46亿,8606.32万,4178.08万,-
同比(%),25.69,186.21,105.99,-,-
经营活动产生的现金流量净额,1293.74万,-1043.86万,915.85万,-,-
基本每股收益(元),0.90,0.81,0.50,0.47,0.23
稀释每股收益(元),-,-,0.50,0.47,0.23
每股净资产(元),4.55,3.62,1.72,1.39,1.01
每股经营现金流(元),0.24,1.48,0.24,0.40,0.23
毛利率(%),26.28,25.33,24.91,25.75,22.64
净利率(%),11.45,10.45,8.24,7.51,5.98
资产负债率(%),53.69,40.49,50.80,60.43,84.79
流动比率,1.81,2.41,1.87,1.49,1.15
速动比率,1.51,1.92,1.44,1.26,1.02
