0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1.02亿,2.15亿,2.28亿,2.26亿,1.54亿,1.06亿,5631.53万,2284.62万,978.60万,200.49万
同比(%),13,-5.77,0.91,46.75,45.55,88.11,146.5,133.46,388.11,-
利润总额,26.04万,1354.28万,-1780.68万,3404.14万,1875.75万,1201.15万,531.89万,369.92万,303.37万,20.61万
净利润,17.56万,1237.75万,-1508.31万,2978.51万,1702.55万,1095.47万,517.23万,325.66万,285.20万,21.22万
同比(%),-97.19,182.06,-150.64,74.94,55.42,111.8,58.82,14.18,1244.28,-
资产总计,2.15亿,2.50亿,2.13亿,2.15亿,1.50亿,7897.34万,5654.24万,1971.07万,1243.34万,153.69万
同比(%),-0.78,17.26,-0.8,43.01,90.3,39.67,186.86,58.53,708.98,-
负债总计,7736.02万,1.08亿,8316.80万,9152.25万,8024.27万,3869.31万,2316.31万,592.80万,190.73万,86.29万
所有者权益总计,1.37亿,1.42亿,1.30亿,1.23亿,7004.32万,4028.03万,3337.93万,1378.27万,1052.61万,67.41万
同比(%),0.82,9.52,5.38,76.18,73.89,20.67,142.18,30.94,1461.61,-
经营活动产生的现金流量净额,-1873.56万,1476.74万,-2121.69万,1133.94万,1286.24万,-1542.61万,400.16万,173.01万,10.22万,-70.38万
基本每股收益(元),0.01,0.31,-0.38,1.00,0.61,0.47,0.50,0.33,0.86,0.07
稀释每股收益(元),0.01,0.31,-0.38,1.00,0.61,0.47,0.50,0.33,0.86,0.07
每股净资产(元),3.46,3.58,3.27,3.39,2.41,1.75,2.17,1.38,1.05,0.22
每股经营现金流(元),-0.97,0.74,-0.63,0.96,0.68,0.08,0.10,-0.08,0.48,-0.23
加权净资产收益率(%),-0.55,0.63,-11.11,31.71,25.92,23.91,27.92,22.55,117.17,37.35
毛利率(%),34.43,34.03,37.66,38.45,34.09,37.40,41.56,49.47,53.10,48.06
净利率(%),0.17,5.75,-6.61,13.16,11.04,10.34,9.18,14.25,29.14,10.58
资产负债率(%),36.02,43.03,39.01,42.58,53.39,49.00,40.97,30.08,15.34,56.14
流动比率,2.38,2.02,2.16,2.13,1.75,1.83,2.11,2.62,5.37,1.44
速动比率,2.38,2.02,2.16,2.13,1.75,1.83,2.11,2.62,5.37,1.44
