0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,8.32亿,10.96亿,19.05亿,18.93亿,25.11亿,23.01亿,18.25亿,16.64亿,18.06亿,17.90亿
同比(%),5.93,-42.46,0.62,-24.62,9.14,26.08,9.68,-7.86,0.89,14.3
利润总额,2611.66万,-1.94亿,2135.17万,3561.59万,1.60亿,1.34亿,1.63亿,1.08亿,1.45亿,1.48亿
净利润,1539.95万,-1.75亿,1737.59万,2628.01万,1.32亿,1.14亿,1.08亿,8092.62万,1.10亿,1.12亿
同比(%),131.15,-1106.82,-33.88,-80.13,16,5.56,33.45,-26.43,-1.79,7.69
资产总计,25.93亿,26.48亿,29.94亿,31.20亿,34.23亿,27.75亿,25.94亿,22.53亿,16.37亿,13.27亿
同比(%),0.52,-11.54,-4.05,-8.85,23.34,6.98,15.14,37.63,23.36,41.77
负债总计,13.62亿,14.38亿,14.98亿,15.14亿,17.87亿,13.74亿,12.86亿,10.21亿,10.48亿,8.27亿
所有者权益总计,12.31亿,12.10亿,14.95亿,16.05亿,16.35亿,14.01亿,13.08亿,12.32亿,5.89亿,4.99亿
同比(%),-8,-19.08,-6.86,-1.82,16.72,7.11,6.17,109.17,18.04,22.6
经营活动产生的现金流量净额,1.96亿,2.61亿,3.09亿,1.89亿,1.60亿,-2392.46万,2634.18万,-1.86亿,-4316.98万,3555.82万
基本每股收益(元),0.06,-0.65,0.07,0.10,0.49,0.63,0.60,0.55,0.81,0.83
稀释每股收益(元),0.06,-0.65,0.07,0.10,0.49,0.63,0.60,0.55,0.81,0.83
每股净资产(元),4.05,3.97,5.04,5.41,8.28,7.78,7.27,6.84,4.36,3.70
每股经营现金流(元),0.72,0.96,1.14,0.70,0.89,-0.13,0.15,-1.03,-0.32,0.26
加权净资产收益率(%),1.26,-13.04,1.15,1.71,8.77,8.48,8.51,10.51,20.14,24.74
毛利率(%),27.26,22.39,22.48,21.01,19.55,21.97,20.46,18.44,18.42,17.80
净利率(%),1.85,-15.96,0.91,1.39,5.27,4.97,5.90,4.86,6.07,6.26
资产负债率(%),52.53,54.31,50.05,48.54,52.22,49.51,49.56,45.33,64.03,62.35
流动比率,2.29,2.16,2.30,2.32,2.05,1.68,1.88,1.99,1.38,1.51
速动比率,2.23,2.09,2.23,2.26,1.98,1.63,1.85,1.96,1.34,1.45
