0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,10.53亿,18.25亿,28.76亿,18.94亿,11.95亿,9.16亿,5.93亿,4.75亿,4.51亿,4.47亿
同比(%),-18.73,-36.54,51.87,58.55,30.41,54.57,24.65,5.45,0.88,28.05
利润总额,1.74亿,1.60亿,1.47亿,2.20亿,1.72亿,1.58亿,1.25亿,1.13亿,4935.24万,5178.64万
净利润,1.50亿,1.45亿,1.31亿,1.91亿,1.48亿,1.34亿,1.06亿,9621.51万,3597.09万,4436.23万
同比(%),-2.6,10.71,-31.72,28.82,10.41,26.54,10.41,167.48,-18.92,46.77
资产总计,31.80亿,32.21亿,30.41亿,27.53亿,18.79亿,11.92亿,8.91亿,7.00亿,5.44亿,3.56亿
同比(%),3.89,5.91,10.46,46.51,57.69,33.76,27.3,28.72,52.77,219.48
负债总计,15.52亿,16.41亿,15.43亿,13.07亿,7.01亿,5.85亿,3.91亿,3.37亿,2.87亿,2.57亿
所有者权益总计,16.28亿,15.80亿,14.98亿,14.46亿,11.78亿,6.07亿,5.00亿,3.63亿,2.56亿,9878.09万
同比(%),2.1,5.44,3.6,22.76,94.14,21.35,37.79,41.56,159.53,70.08
经营活动产生的现金流量净额,-3007.91万,2.65亿,2.38亿,2.60亿,7605.42万,1.82亿,1.35亿,1.34亿,9422.03万,4880.76万
基本每股收益(元),0.71,0.57,0.54,0.88,0.72,0.86,0.72,0.71,0.49,3.75
稀释每股收益(元),0.67,0.55,0.51,0.82,0.72,0.86,0.72,0.71,0.49,-
每股净资产(元),7.14,6.96,6.71,6.55,5.87,3.99,3.32,2.69,2.00,6.59
每股经营现金流(元),-0.15,1.35,1.22,1.32,0.39,1.24,0.92,1.01,0.74,3.25
加权净资产收益率(%),9.18,7.73,7.48,13.73,13.31,23.50,23.89,30.37,22.82,58.40
毛利率(%),31.95,29.21,20.88,26.34,31.36,32.05,36.11,39.79,38.76,36.14
净利率(%),14.28,7.92,4.54,10.09,12.42,14.67,17.92,20.23,7.98,9.92
资产负债率(%),48.82,50.96,50.74,47.48,37.32,49.09,43.88,48.15,52.85,72.25
流动比率,1.73,1.67,1.80,1.99,1.73,1.26,1.41,1.88,1.64,1.12
速动比率,1.73,1.67,1.80,1.99,1.71,1.22,1.35,1.88,1.64,1.12
