0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,118.65亿,264.25亿,304.01亿,131.53亿,170.92亿,198.47亿,113.07亿,147.61亿,62.43亿,46.54亿
同比(%),-2.51,-13.08,131.14,-23.04,-13.88,75.52,-23.4,136.45,34.14,119.59
利润总额,13.82亿,41.04亿,33.60亿,45.02亿,64.97亿,82.99亿,277.89亿,35.31亿,36.05亿,30.31亿
净利润,14.55亿,28.62亿,21.94亿,32.78亿,50.51亿,62.04亿,213.59亿,26.72亿,26.87亿,22.59亿
同比(%),53.4,30.47,-33.06,-35.1,-18.59,-70.95,699.27,-0.53,18.93,192.08
资产总计,1502.76亿,1545.08亿,1793.47亿,1943.81亿,1462.80亿,1452.34亿,1326.62亿,810.00亿,495.35亿,405.91亿
同比(%),-6.08,-13.85,-7.73,32.88,0.72,9.48,63.78,63.52,22.03,166.1
负债总计,874.23亿,929.80亿,1205.98亿,1378.42亿,921.45亿,967.90亿,904.15亿,619.49亿,339.48亿,304.12亿
所有者权益总计,628.53亿,615.28亿,587.49亿,565.39亿,541.35亿,484.45亿,422.47亿,190.50亿,155.86亿,101.79亿
同比(%),5.6,4.73,3.91,4.44,11.75,14.67,121.77,22.22,53.12,475.88
经营活动产生的现金流量净额,-7.33亿,47.05亿,86.12亿,55.91亿,34.12亿,32.48亿,22.12亿,88.34亿,31.36亿,14.44亿
每股净资产(元),15.03,14.63,14.00,13.34,12.84,11.12,9.32,3.81,3.08,387.60
每股经营现金流(元),-0.24,1.57,3.57,1.54,1.14,1.08,0.74,1.56,1.05,144.40
加权净资产收益率(%),2.98,4.47,4.25,5.85,13.53,13.71,42.70,19.37,38.24,45.95
毛利率(%),25.51,36.80,23.07,38.78,48.03,59.03,41.89,40.48,46.12,69.70
净利率(%),12.26,10.83,7.22,24.92,29.55,31.26,188.89,18.10,43.04,48.54
资产负债率(%),58.18,60.18,65.27,67.75,62.99,66.64,64.84,66.52,68.53,74.92
流动比率,0.84,0.77,0.87,1.06,1.15,1.33,1.83,2.46,1.43,1.80
速动比率,0.27,0.26,0.33,0.41,0.48,0.67,1.28,1.64,0.62,0.88
