0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2487.06万,6331.70万,1.38亿,1.54亿,1.37亿,9930.20万,7608.15万,9591.83万,1.08亿,1.19亿
同比(%),-27.52,-54.07,-10.67,13.03,37.51,30.52,-20.68,-11.31,-8.93,8.62
利润总额,-254.41万,-1125.56万,-4548.44万,1228.92万,550.28万,899.99万,759.64万,374.11万,2110.92万,1668.33万
净利润,-266.35万,-766.84万,-3990.63万,1002.50万,623.38万,765.19万,589.54万,193.64万,1485.19万,1227.57万
同比(%),55.18,80.78,-498.07,60.82,-18.53,29.8,204.45,-86.96,20.99,7.91
资产总计,4503.45万,4963.83万,6225.50万,9079.02万,7078.44万,5832.20万,4244.37万,5146.39万,5351.42万,4537.24万
同比(%),-21.79,-20.27,-31.43,28.26,21.37,37.41,-17.53,-3.83,17.94,41.86
负债总计,3741.31万,3935.34万,4539.33万,3462.79万,2459.93万,1852.39万,1040.09万,1931.65万,1751.74万,1516.01万
所有者权益总计,762.14万,1028.49万,1686.18万,5616.23万,4618.51万,3979.81万,3204.28万,3214.75万,3599.69万,3021.23万
同比(%),-31.24,-39,-69.98,21.6,16.05,24.2,-0.33,-10.69,19.15,68.44
经营活动产生的现金流量净额,-90.59万,-587.91万,-1738.50万,-414.43万,295.12万,-392.70万,254.16万,862.15万,919.39万,675.96万
基本每股收益(元),-0.09,-0.26,-1.32,0.33,0.21,0.26,0.20,0.06,0.74,0.82
稀释每股收益(元),-0.09,-0.26,-1.32,0.33,0.21,0.26,0.20,0.06,0.74,0.82
每股净资产(元),0.25,0.34,0.56,1.86,1.53,1.33,1.07,1.07,1.33,2.01
每股经营现金流(元),-0.03,0.00,-0.18,0.04,-0.15,-0.19,-0.38,0.03,0.17,0.41
加权净资产收益率(%),-31.42,-60.23,-110.52,16.94,13.56,21.72,15.70,3.89,40.78,46.60
毛利率(%),35.26,37.69,42.52,41.19,36.42,48.97,51.69,54.18,60.50,58.17
净利率(%),-10.71,-12.11,-28.95,6.50,4.57,7.71,7.75,2.02,13.73,10.34
资产负债率(%),83.08,79.28,72.91,38.14,34.75,31.76,24.51,37.53,32.73,33.41
流动比率,0.81,0.86,1.05,2.46,2.53,2.69,3.53,2.39,2.88,2.71
速动比率,0.81,0.86,1.05,2.46,2.53,2.69,3.53,2.39,2.88,2.71
