0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2.60亿,3.75亿,4.43亿,3.65亿,3.90亿,3.72亿,2.63亿,2.64亿,2.00亿,1.37亿
同比(%),114.16,-15.51,21.59,-6.47,4.87,41.5,-0.58,32.29,46.05,18.34
利润总额,1252.91万,768.03万,-2810.41万,-1376.45万,3789.73万,2826.61万,2258.61万,2824.12万,3419.46万,1764.20万
净利润,1017.41万,726.36万,-2283.78万,-1364.07万,3397.13万,2472.82万,1908.80万,2321.59万,2897.87万,1468.82万
同比(%),576.84,131.81,-67.42,-140.15,37.38,29.55,-17.78,-19.89,97.29,18.23
资产总计,5.31亿,4.71亿,5.21亿,4.57亿,4.67亿,4.05亿,3.51亿,2.98亿,2.84亿,1.77亿
同比(%),12.31,-9.63,14.08,-2.06,15.08,15.64,17.45,5.21,60,166.14
负债总计,2.91亿,2.41亿,3.00亿,2.11亿,1.77亿,1.49亿,1.23亿,8986.08万,9079.21万,1.38亿
所有者权益总计,2.40亿,2.30亿,2.21亿,2.46亿,2.90亿,2.56亿,2.28亿,2.09亿,1.93亿,3980.43万
同比(%),7.81,3.94,-9.9,-15.26,13.2,12.49,9.15,8.14,384.62,51.18
经营活动产生的现金流量净额,-3499.66万,1988.43万,-1866.12万,2572.49万,1184.79万,3693.81万,871.19万,483.22万,-4842.28万,-1116.62万
基本每股收益(元),0.13,0.10,-0.32,-0.16,0.42,0.31,0.25,0.31,0.65,0.61
稀释每股收益(元),0.13,0.10,-0.32,-0.16,0.42,0.31,0.25,0.31,0.65,0.61
每股净资产(元),3.15,3.02,2.90,3.24,3.66,3.24,3.03,2.78,3.86,3.98
每股经营现金流(元),-0.18,-0.17,0.29,-0.40,0.22,-0.35,0.30,0.04,0.29,0.69
加权净资产收益率(%),4.32,3.23,-10.89,-5.67,11.31,8.96,7.68,10.45,22.05,42.74
毛利率(%),24.61,24.24,22.15,24.66,33.33,30.85,31.43,35.06,42.87,41.03
净利率(%),3.91,1.94,-5.15,-3.74,8.71,6.65,7.27,8.79,14.51,10.74
资产负债率(%),54.78,51.15,57.53,46.23,37.85,36.81,35.05,30.11,32.00,77.55
流动比率,1.47,1.29,1.19,1.48,1.87,2.05,2.19,3.82,2.36,0.95
速动比率,1.36,1.16,1.09,1.42,1.74,1.96,2.16,3.78,2.33,0.93
