0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,5.18亿,8.28亿,8.84亿,8.67亿,8.98亿,7.64亿,7.44亿,6.91亿,6.73亿,7.05亿
同比(%),-4.71,-6.35,1.99,-3.44,17.57,2.64,7.72,2.6,-4.46,6.41
利润总额,2644.73万,4284.97万,4674.10万,3544.72万,4142.27万,5969.30万,7158.39万,6907.45万,6588.64万,6898.96万
净利润,1834.10万,2388.98万,3450.28万,2572.50万,2723.05万,4836.57万,5193.08万,5057.89万,4808.69万,5017.02万
同比(%),8.99,-30.76,34.12,-5.53,-43.7,-6.87,2.67,5.18,-4.15,-1.22
资产总计,14.53亿,14.48亿,16.55亿,14.98亿,13.05亿,12.09亿,11.06亿,9.36亿,6.40亿,5.57亿
同比(%),-9.15,-12.49,10.44,14.81,7.99,9.32,18.1,46.17,14.97,6.49
负债总计,7.79亿,7.69亿,9.76亿,8.36亿,6.49亿,5.56亿,4.92亿,3.67亿,3.37亿,2.87亿
所有者权益总计,6.74亿,6.79亿,6.79亿,6.63亿,6.56亿,6.52亿,6.13亿,5.69亿,3.04亿,2.70亿
同比(%),0.35,-,2.43,0.95,0.64,6.41,7.73,87.45,12.23,14.95
经营活动产生的现金流量净额,6121.99万,-1354.12万,1.06亿,1.80亿,1.46亿,1.26亿,1.81亿,9719.92万,1.21亿,7576.00万
基本每股收益(元),0.11,0.14,0.22,0.17,0.18,0.34,0.39,0.51,0.96,1.00
稀释每股收益(元),0.11,0.14,0.22,0.17,0.18,0.34,0.39,0.51,0.96,1.00
每股净资产(元),4.93,4.94,4.94,4.85,4.81,4.79,4.56,8.54,6.07,5.41
每股经营现金流(元),0.46,-0.10,0.80,1.35,1.10,0.94,1.35,1.46,2.42,1.52
加权净资产收益率(%),2.27,2.88,4.47,3.49,3.80,7.39,8.80,15.85,16.87,19.88
毛利率(%),28.91,31.14,29.85,27.27,28.77,32.17,31.09,32.16,33.64,33.71
净利率(%),3.54,2.88,3.90,2.97,3.03,6.33,6.98,7.32,7.14,7.12
资产负债率(%),53.60,53.49,58.98,55.77,49.70,46.02,44.55,39.21,52.60,51.44
流动比率,1.39,1.19,1.27,0.83,1.00,1.74,1.79,2.03,1.33,1.21
速动比率,1.37,1.17,1.25,0.81,0.95,1.67,1.73,1.97,1.25,1.13
