0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1.86亿,15.39亿,14.53亿,21.10亿,40.14亿,49.99亿,39.16亿,32.90亿,33.40亿,32.06亿
同比(%),-72.62,5.92,-31.1,-47.45,-19.7,27.66,19.04,-1.51,4.19,24.26
利润总额,-2.13亿,-3.91亿,-17.47亿,-5.78亿,1.29亿,2.39亿,1.97亿,1.60亿,2.06亿,2.27亿
净利润,-2.20亿,-4.26亿,-17.50亿,-5.72亿,7534.71万,1.60亿,1.40亿,1.09亿,1.30亿,1.49亿
同比(%),-7.69,75.69,-206.09,-858.97,-52.79,14.19,28.54,-16.57,-12.49,17.51
资产总计,23.56亿,27.56亿,29.91亿,38.18亿,47.74亿,49.40亿,43.41亿,35.91亿,34.49亿,25.92亿
同比(%),-10.11,-7.84,-21.66,-20.03,-3.35,13.8,20.9,4.11,33.06,19.56
负债总计,30.71亿,32.52亿,32.34亿,23.92亿,27.51亿,29.77亿,25.16亿,19.59亿,19.23亿,17.27亿
所有者权益总计,-7.15亿,-4.96亿,-2.43亿,14.26亿,20.23亿,19.63亿,18.25亿,16.31亿,15.26亿,8.65亿
同比(%),-60.04,-104.27,-117.01,-29.52,3.07,7.59,11.84,6.88,76.48,20.8
经营活动产生的现金流量净额,-1789.42万,4508.78万,-2.89亿,-8353.65万,2.84亿,-2.49亿,-1.33亿,-5.23亿,-1.43亿,-1.17亿
基本每股收益(元),-0.97,-1.84,-7.73,-2.27,0.38,0.75,0.66,0.48,0.72,0.83
稀释每股收益(元),-0.97,-1.84,-7.73,-2.27,0.38,0.75,0.66,0.48,0.72,0.83
每股净资产(元),-3.08,-2.10,-0.32,6.73,8.84,8.53,7.90,7.25,6.78,4.80
每股经营现金流(元),-0.08,0.20,-1.29,-0.37,1.26,-1.11,-0.59,-2.33,-0.64,-0.65
加权净资产收益率(%),-,-,-,-32.49,5.31,9.13,8.78,6.89,14.02,18.84
毛利率(%),4.86,5.82,10.00,6.38,17.29,14.53,14.20,15.75,17.37,17.34
净利率(%),-118.21,-27.64,-120.43,-25.42,1.88,3.19,3.57,3.31,3.90,4.65
资产负债率(%),130.35,117.98,102.56,58.95,57.62,60.26,57.97,54.57,55.74,66.63
流动比率,0.65,0.74,1.04,1.65,1.56,1.52,1.62,1.77,1.75,1.45
速动比率,0.63,0.71,0.99,1.55,1.49,1.44,1.54,1.69,1.68,1.39
