0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,35.74亿,21.66亿,19.48亿,22.69亿,30.15亿,29.64亿,24.45亿,21.27亿,18.53亿,18.10亿
同比(%),162.23,11.18,-14.17,-24.73,1.73,21.21,14.96,14.75,2.42,5.91
利润总额,1.09亿,1238.20万,-10.59亿,-2313.44万,3661.08万,1.07亿,1.08亿,1.12亿,1.05亿,1.15亿
净利润,7951.74万,1066.11万,-9.84亿,-2600.75万,2026.76万,9107.98万,9037.42万,8086.95万,7821.89万,8587.93万
同比(%),212.67,101.08,-3684.09,-228.32,-77.75,0.78,11.75,3.39,-8.92,-1.89
资产总计,95.57亿,89.77亿,33.30亿,43.28亿,45.68亿,40.11亿,36.24亿,29.18亿,17.70亿,14.23亿
同比(%),122.08,169.61,-23.06,-5.26,13.89,10.68,24.18,64.88,24.41,13.47
负债总计,91.76亿,86.62亿,31.96亿,33.13亿,33.86亿,27.68亿,24.62亿,18.38亿,11.84亿,9.15亿
所有者权益总计,3.82亿,3.15亿,1.34亿,10.15亿,11.81亿,12.43亿,11.62亿,10.80亿,5.86亿,5.07亿
同比(%),131.72,135.52,-86.82,-14.08,-4.94,6.97,7.59,84.32,15.46,20.3
经营活动产生的现金流量净额,-4867.52万,-1.10亿,-1.20亿,-3.41亿,4.00亿,6251.07万,6169.48万,-2.33亿,-1.40亿,-1.07亿
基本每股收益(元),0.18,0.07,-6.76,-0.18,0.16,0.67,0.66,1.08,1.31,1.44
稀释每股收益(元),0.18,0.07,-6.76,-0.18,0.16,0.67,0.66,1.08,1.31,1.44
每股净资产(元),1.22,1.06,0.91,7.41,8.61,9.04,14.36,13.34,9.65,8.34
每股经营现金流(元),-0.30,-0.69,-0.75,-2.47,2.90,0.45,0.76,-2.87,-2.29,-1.75
加权净资产收益率(%),15.69,7.44,-184.05,-2.11,1.75,7.64,8.10,8.64,14.53,18.81
毛利率(%),16.08,17.20,12.45,16.60,15.35,15.54,15.66,13.15,14.48,14.33
净利率(%),2.23,0.49,-50.53,-1.15,0.67,3.07,3.70,3.80,4.22,4.75
资产负债率(%),96.00,96.49,95.98,76.54,74.13,69.01,67.93,62.99,66.89,64.33
流动比率,0.79,0.76,0.81,1.23,1.14,1.07,1.09,1.25,1.40,1.53
速动比率,0.75,0.74,0.77,1.19,1.12,1.03,1.05,1.21,1.34,1.46
