0,2019,2018,2017,2016,2015,2014
营业总收入,16.76亿,32.72亿,14.87亿,13.53亿,8.30亿,4.08亿
同比(%),9.54,120.04,9.9,63.01,103.43,65.85
利润总额,-,4.17亿,-,-,2.31亿,2.31亿
净利润,-,3.36亿,-,-,1.77亿,1.71亿
同比(%),-,-,-,-,3.51,142.63
资产总计,81.82亿,90.06亿,37.78亿,36.65亿,22.92亿,8.33亿
同比(%),4.44,138.38,3.08,59.9,175.15,91.06
负债总计,56.42亿,67.02亿,27.11亿,26.80亿,16.35亿,4.55亿
所有者权益总计,-,23.04亿,-,-,6.57亿,3.78亿
同比(%),-,-,-,-,73.81,119.77
经营活动产生的现金流量净额,1.24亿,7.73亿,4971.95万,3.85亿,3.38亿,1.04亿
每股净资产(元),-,148.09,-,-,40.88,24.21
每股经营现金流(元),-,51.55,-,-,22.53,6.91
加权净资产收益率(%),6.50,14.50,2.00,-,26.13,45.52
毛利率(%),29.00,30.04,40.82,44.86,55.66,80.78
净利率(%),-,10.27,-,-,21.33,41.91
资产负债率(%),68.96,74.41,71.75,73.12,71.35,54.62
流动比率,0.95,0.98,1.28,1.53,0.99,1.33
速动比率,0.94,0.98,1.27,1.52,0.97,1.25
