0,2020,2019,2018,2017,2016,2015,2014
营业总收入,2002.28万,8020.55万,6621.73万,1.20亿,1.81亿,9271.02万,-
同比(%),-58.17,21.12,-44.85,-33.56,94.91,-,-
利润总额,206.12万,-608.83万,124.60万,-550.88万,893.26万,437.59万,-
净利润,206.12万,-614.59万,123.98万,-556.44万,772.18万,326.08万,-
同比(%),215.15,-595.71,122.28,-172.06,136.81,-,-
资产总计,2278.73万,5695.16万,2252.14万,1966.76万,2983.58万,1627.44万,-
同比(%),-52.39,152.88,14.51,-34.08,83.33,-,-
负债总计,1615.91万,5238.45万,1180.84万,1019.44万,1479.82万,895.86万,-
所有者权益总计,662.82万,456.70万,1071.30万,947.32万,1503.76万,731.58万,-
同比(%),-41.69,-57.37,13.09,-37,105.55,-,-
经营活动产生的现金流量净额,95.34万,94.30万,7.80万,694.90万,-674.56万,188.19万,-
基本每股收益(元),0.45,-1.34,0.41,-1.85,2.57,2.73,2.01
稀释每股收益(元),0.45,-1.34,-,-1.85,-,2.73,2.01
每股净资产(元),1.44,0.99,3.57,3.16,5.01,2.44,3.03
每股经营现金流(元),-,-0.26,-0.37,1.02,-1.28,1.52,-2.22
毛利率(%),32.53,9.49,16.27,1.17,8.86,8.94,25.20
净利率(%),10.29,-7.66,1.87,-4.63,4.27,3.52,4.63
资产负债率(%),70.91,91.98,52.43,51.83,49.60,55.05,67.14
流动比率,1.23,1.02,1.48,1.29,2.08,2.02,1.44
速动比率,1.23,1.02,1.48,1.29,2.08,2.02,1.43
