0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,134.60亿,103.86亿,711.38亿,693.60亿,557.94亿,444.67亿,270.97亿,202.48亿,148.78亿,123.54亿
同比(%),29.59,-85.4,2.56,24.31,25.47,64.1,33.82,36.09,20.43,4.2
利润总额,-21.50亿,-9.12亿,128.60亿,174.03亿,159.27亿,126.47亿,91.75亿,67.99亿,34.29亿,30.39亿
净利润,-16.31亿,-6.20亿,99.58亿,131.74亿,115.96亿,95.23亿,68.45亿,50.73亿,25.62亿,22.58亿
同比(%),-162.78,-106.23,-24.41,13.6,21.77,39.13,34.91,98.06,13.43,9.15
资产总计,2529.92亿,2557.29亿,2559.68亿,2179.41亿,1834.58亿,1560.09亿,983.16亿,788.38亿,496.46亿,381.67亿
同比(%),-2.24,-0.09,17.45,18.8,17.59,58.68,24.71,58.8,30.08,43.55
负债总计,2089.83亿,2030.01亿,1907.37亿,1608.53亿,1427.88亿,1208.13亿,720.03亿,538.39亿,335.89亿,253.67亿
所有者权益总计,440.09亿,527.28亿,652.31亿,570.88亿,406.70亿,351.96亿,263.13亿,249.99亿,160.56亿,128.00亿
同比(%),-28.99,-19.17,14.26,40.37,15.55,33.76,5.26,55.7,25.44,94.18
经营活动产生的现金流量净额,-2.01亿,-42.31亿,23.02亿,15.88亿,4.66亿,153.36亿,147.40亿,66.10亿,9.21亿,-78.34亿
基本每股收益(元),-,-,-,-,-,-,-,-,5.71,4.96
每股净资产(元),87.75,91.95,109.40,100.33,72.14,62.67,50.82,42.64,27.51,24.22
每股经营现金流(元),-0.45,15.72,5.20,3.58,1.05,34.62,33.27,14.92,2.08,-17.68
加权净资产收益率(%),-4.48,-16.53,20.78,33.55,37.93,35.09,30.82,28.11,22.06,25.38
毛利率(%),8.83,13.60,23.19,30.16,31.21,33.54,35.17,35.23,34.20,33.64
净利率(%),-12.11,-5.97,14.00,18.99,20.78,21.42,25.26,25.06,17.22,18.28
资产负债率(%),82.60,79.38,74.52,73.81,77.83,77.44,73.24,68.29,67.66,66.46
流动比率,1.28,1.34,1.41,1.48,1.19,1.30,1.40,1.84,2.01,2.00
速动比率,0.35,0.45,0.69,0.67,0.56,0.83,0.75,0.54,0.86,0.47
