0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,7.20亿,35.64亿,80.36亿,122.46亿,130.46亿,143.98亿,125.35亿,101.13亿,80.10亿,97.88亿
同比(%),-71.1,-55.66,-34.38,-6.13,-9.39,14.86,23.96,26.25,-18.16,12.62
利润总额,-8.75亿,-56.59亿,-59.89亿,-8.61亿,1.27亿,3.72亿,7.79亿,4.80亿,3.70亿,6.47亿
净利润,-8.72亿,-55.60亿,-56.90亿,-7.92亿,1.33亿,3.18亿,6.62亿,4.00亿,3.11亿,5.50亿
同比(%),-90.86,2.3,-618.45,-697.32,-58.33,-51.94,65.33,28.82,-43.45,4.07
资产总计,92.64亿,107.86亿,162.19亿,234.11亿,244.44亿,209.67亿,158.64亿,158.45亿,136.56亿,113.27亿
同比(%),-34.03,-33.5,-30.72,-4.23,16.59,32.16,0.12,16.03,20.56,28.18
负债总计,151.74亿,158.01亿,156.85亿,170.49亿,173.87亿,138.33亿,89.86亿,95.42亿,77.16亿,70.44亿
所有者权益总计,-59.11亿,-50.15亿,5.34亿,63.62亿,70.57亿,71.33亿,68.79亿,63.03亿,59.40亿,42.83亿
同比(%),-8360.33,-1038.43,-91.6,-9.85,-1.07,3.7,9.14,6.11,38.68,14.21
经营活动产生的现金流量净额,6490.32万,-9.00亿,-9.05亿,6.03亿,-9.97亿,4.49亿,10.51亿,2.15亿,-8.16亿,2.45亿
基本每股收益(元),-0.54,-3.45,-3.64,-0.51,0.09,0.23,0.42,0.26,0.51,1.04
稀释每股收益(元),-0.54,-3.45,-3.64,-0.51,0.09,0.23,0.42,0.26,0.51,1.02
每股净资产(元),-3.65,-3.11,0.34,4.06,4.51,4.52,4.34,3.94,9.24,8.08
每股经营现金流(元),0.04,-0.59,-0.59,0.39,-0.65,0.29,0.68,0.14,-1.30,0.47
加权净资产收益率(%),-,-,-161.87,-12.00,2.08,5.09,10.10,6.80,5.96,13.60
毛利率(%),-49.99,-44.42,6.43,12.80,13.16,14.65,13.22,10.80,16.89,16.96
净利率(%),-121.04,-156.01,-70.81,-6.47,1.02,2.21,5.28,3.96,3.88,5.62
资产负债率(%),163.81,146.63,96.71,72.83,71.13,65.98,56.64,60.22,56.50,62.19
流动比率,0.45,0.53,0.91,1.27,1.44,1.45,1.72,1.63,1.91,1.62
速动比率,0.42,0.49,0.85,1.22,1.38,1.36,1.59,1.53,1.80,1.51
