0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,13.80亿,34.91亿,40.62亿,37.11亿,33.95亿,31.61亿,23.98亿,15.47亿,10.64亿,8.87亿
同比(%),-13.1,-14.05,9.46,9.29,7.41,31.83,54.98,45.38,20.02,48.84
利润总额,2298.50万,7716.14万,1.39亿,1.28亿,1.49亿,1.36亿,8951.02万,7400.19万,4259.58万,4078.76万
净利润,1921.18万,6651.39万,1.18亿,1.09亿,1.27亿,1.11亿,7400.85万,5629.31万,3149.09万,3035.85万
同比(%),-55.95,-43.8,8.72,-14.34,14.68,49.76,31.47,78.76,3.73,40.71
资产总计,41.42亿,45.69亿,43.29亿,41.13亿,33.15亿,26.28亿,19.63亿,13.45亿,9.86亿,7.02亿
同比(%),3.39,5.56,5.26,24.06,26.14,33.86,46.01,36.32,40.47,60.2
负债总计,30.65亿,34.99亿,33.13亿,32.22亿,25.42亿,19.98亿,16.64亿,11.07亿,7.96亿,5.97亿
所有者权益总计,10.77亿,10.70亿,10.16亿,8.90亿,7.73亿,6.30亿,3.00亿,2.38亿,1.90亿,1.05亿
同比(%),2.33,5.3,14.13,15.14,22.84,110.04,26.19,24.94,81.24,62.14
经营活动产生的现金流量净额,-2.77亿,714.34万,-1.07亿,9433.55万,2.31亿,6901.84万,-1.57亿,-9649.59万,-1.93亿,-7436.06万
基本每股收益(元),0.17,0.59,1.06,0.97,1.13,1.07,0.79,0.60,0.35,0.61
稀释每股收益(元),0.17,0.59,1.06,0.97,1.13,1.07,0.79,0.60,0.35,0.61
每股净资产(元),9.62,9.56,9.07,7.95,6.91,5.62,3.21,2.55,2.04,2.10
每股经营现金流(元),-2.48,0.06,-0.95,0.84,2.06,0.62,-1.68,-1.03,-2.07,-1.49
加权净资产收益率(%),1.78,6.34,12.46,13.15,18.34,23.26,29.39,27.24,22.86,35.80
毛利率(%),10.67,10.78,11.53,11.82,12.28,11.57,11.26,13.11,15.62,15.35
净利率(%),1.39,1.91,2.91,2.93,3.74,3.51,3.09,3.64,2.96,3.42
资产负债率(%),73.99,76.58,76.52,78.35,76.67,76.04,84.73,82.33,80.72,85.06
流动比率,1.18,1.19,1.24,1.23,1.27,1.28,1.14,1.18,1.22,1.16
速动比率,1.13,1.13,1.18,1.17,1.20,1.22,1.08,1.12,1.14,1.03
