0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,7.22亿,22.01亿,37.98亿,43.98亿,49.57亿,45.72亿,25.73亿,6.58亿,14.56亿,19.48亿
同比(%),-56.29,-42.05,-13.66,-11.26,8.41,77.69,291.03,-54.81,-25.26,66.21
利润总额,-9402.20万,-4.95亿,-11.14亿,-29.75亿,3.33亿,3.50亿,6642.37万,1442.55万,5201.24万,5614.25万
净利润,-9170.36万,-5.17亿,-11.32亿,-29.86亿,3.01亿,3.12亿,4721.24万,1008.70万,3978.30万,4640.12万
同比(%),66.88,54.33,62.08,-1091.81,-3.5,560.84,368.05,-74.64,-14.26,159.33
资产总计,11.75亿,17.69亿,27.77亿,34.21亿,66.51亿,67.50亿,66.10亿,15.05亿,18.24亿,23.18亿
同比(%),-42.77,-36.29,-18.81,-48.57,-1.46,2.12,339.2,-17.49,-21.31,37.4
负债总计,5.75亿,11.52亿,16.45亿,11.54亿,12.62亿,15.17亿,16.90亿,6.10亿,9.16亿,14.26亿
所有者权益总计,6.00亿,6.18亿,11.33亿,22.66亿,53.89亿,52.33亿,49.20亿,8.96亿,9.08亿,8.92亿
同比(%),-29.94,-45.46,-50.02,-57.95,2.98,6.36,449.11,-1.32,1.79,18.46
经营活动产生的现金流量净额,-849.65万,6251.23万,-2955.91万,-2.80亿,4.38亿,2.17亿,2.59亿,2707.47万,1.78亿,-846.42万
基本每股收益(元),-0.10,-0.59,-1.22,-3.25,0.33,0.34,0.08,0.01,0.07,0.11
稀释每股收益(元),-0.10,-0.59,-1.22,-3.25,0.33,0.34,0.08,0.01,0.07,0.11
每股净资产(元),0.64,0.66,1.25,2.47,5.86,5.57,5.23,1.79,1.75,1.68
每股经营现金流(元),-0.01,0.07,-0.03,-0.31,0.48,0.24,0.28,0.06,0.41,-0.02
加权净资产收益率(%),-15.31,-61.81,-65.93,-79.32,5.85,6.31,2.42,0.68,4.15,5.84
毛利率(%),3.01,-0.23,-1.23,10.19,16.28,16.95,13.55,12.56,12.30,11.93
净利率(%),-12.71,-23.50,-29.82,-67.89,6.10,7.13,1.97,1.61,2.79,2.40
资产负债率(%),48.97,65.09,59.21,33.74,18.98,22.47,25.54,40.50,50.22,62.23
流动比率,1.31,1.20,1.29,1.97,2.04,1.62,1.44,2.58,1.77,1.38
速动比率,1.15,1.05,1.14,1.81,1.89,1.49,1.34,2.41,1.64,1.27
