0,2023,2022,2021,2020,2019,2018,2017,2016
营业总收入,19.10亿,22.03亿,26.45亿,21.14亿,19.51亿,17.27亿,17.15亿,14.50亿
同比(%),20.26,-16.72,25.12,8.36,12.95,0.72,18.24,-
利润总额,1.23亿,-5184.52万,1.76亿,2.98亿,2.55亿,1.80亿,2.63亿,1.97亿
净利润,9319.26万,-5066.88万,1.37亿,2.40亿,2.11亿,1.48亿,2.05亿,1.41亿
同比(%),883.15,-136.9,-42.73,13.65,42.12,-27.65,45.24,-
资产总计,40.14亿,37.69亿,36.48亿,25.85亿,19.50亿,19.64亿,18.68亿,15.56亿
同比(%),1.59,3.31,41.09,32.6,-0.73,5.17,20.04,-
负债总计,22.87亿,20.58亿,19.21亿,14.86亿,10.90亿,11.28亿,10.68亿,9.60亿
所有者权益总计,17.27亿,17.11亿,17.26亿,11.00亿,8.60亿,8.37亿,8.00亿,5.96亿
同比(%),-2.5,-0.88,57,27.89,2.77,4.61,34.28,-
经营活动产生的现金流量净额,1.67亿,1048.65万,-1.04亿,3.56亿,2.91亿,1.51亿,2.64亿,2.05亿
基本每股收益(元),0.22,-0.10,0.32,0.65,0.57,0.41,0.56,0.38
稀释每股收益(元),0.22,-0.10,0.32,0.65,0.57,0.41,0.56,0.38
每股净资产(元),3.78,3.73,3.96,2.98,2.33,2.26,2.15,1.58
每股经营现金流(元),0.38,0.02,-0.24,0.96,0.79,0.41,0.72,0.56
加权净资产收益率(%),5.71,-2.54,8.57,24.45,25.48,18.23,30.24,29.88
毛利率(%),27.12,24.46,24.45,31.84,29.20,28.45,32.92,37.61
净利率(%),4.88,-2.30,5.19,11.34,10.81,8.59,11.96,9.74
资产负债率(%),56.98,54.60,52.68,57.47,55.91,57.41,57.18,61.72
流动比率,0.96,0.99,1.06,0.97,1.00,1.11,1.13,1.14
速动比率,0.74,0.82,0.87,0.78,0.78,0.88,0.88,0.88
