0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,55.34亿,167.85亿,219.83亿,119.32亿,77.47亿,98.62亿,92.03亿,84.64亿,68.60亿,62.89亿
同比(%),-43,-23.64,84.24,54.02,-21.45,7.16,8.73,23.38,9.08,22.91
利润总额,1.59亿,3.46亿,13.11亿,10.72亿,10.39亿,6.53亿,15.82亿,12.79亿,11.61亿,8.79亿
净利润,2925.88万,4884.13万,7.52亿,7.35亿,7.47亿,4.36亿,11.96亿,8.36亿,8.44亿,6.63亿
同比(%),-92.33,-93.51,2.33,-1.57,71.26,-63.53,42.97,-0.89,27.31,-34.2
资产总计,628.53亿,674.84亿,779.25亿,884.80亿,749.67亿,643.66亿,544.38亿,456.83亿,337.39亿,312.61亿
同比(%),-10.65,-13.4,-11.93,18.03,16.47,18.24,19.16,35.4,7.93,12.57
负债总计,447.83亿,493.83亿,596.94亿,720.58亿,620.72亿,522.27亿,428.28亿,374.50亿,263.41亿,256.06亿
所有者权益总计,180.70亿,181.00亿,182.31亿,164.22亿,128.95亿,121.40亿,116.10亿,82.33亿,73.98亿,56.56亿
同比(%),-2.13,-0.72,11.02,27.35,6.22,4.56,41.02,11.28,30.81,12.91
经营活动产生的现金流量净额,16.21亿,23.67亿,29.03亿,47.73亿,58.40亿,-23.97亿,-68.19亿,29.55亿,-2569.38万,-37.59亿
基本每股收益(元),-,-,-,-,0.46,-,-,-,-,-
稀释每股收益(元),-,-,-,-,0.46,-,-,-,-,-
每股净资产(元),10.28,10.32,10.39,9.31,8.26,7.77,7.48,5.33,5.85,5.48
每股经营现金流(元),1.05,1.53,1.88,3.09,3.78,-1.55,-4.41,1.91,-0.02,-3.76
加权净资产收益率(%),0.04,0.70,5.38,5.46,5.78,3.79,12.15,10.77,11.80,9.34
毛利率(%),22.22,22.27,24.49,24.11,36.01,36.27,36.09,36.11,35.92,31.57
净利率(%),0.53,0.29,3.42,6.16,9.64,4.42,13.00,9.88,12.30,10.54
资产负债率(%),71.25,73.18,76.60,81.44,82.80,81.14,78.67,81.98,78.07,81.91
流动比率,1.26,1.37,1.30,1.27,1.51,1.66,1.75,1.96,1.89,1.63
速动比率,0.31,0.33,0.32,0.30,0.28,0.25,0.46,0.58,0.34,0.24
