0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2320.24亿,3726.92亿,4527.35亿,3978.04亿,3775.40亿,2584.99亿,1246.14亿,889.63亿,568.39亿,358.89亿
同比(%),13.79,-17.68,13.81,5.37,46.05,107.44,40.07,56.52,58.37,56.93
利润总额,-252.90亿,133.94亿,535.83亿,636.32亿,717.57亿,451.03亿,175.51亿,115.58亿,66.69亿,56.25亿
净利润,-270.69亿,110.54亿,414.16亿,483.74亿,535.45亿,331.39亿,134.04亿,90.50亿,49.95亿,42.16亿
同比(%),-376.9,-73.31,-14.38,-9.66,61.58,147.23,48.1,81.18,18.47,67.11
资产总计,1.25万亿,1.39万亿,1.61万亿,1.67万亿,1.54万亿,1.26万亿,8385.76亿,3445.92亿,1660.36亿,1334.77亿
同比(%),-18.15,-13.32,-3.76,8.23,22.54,50.21,143.35,107.54,24.39,50.62
负债总计,1.05万亿,1.15万亿,1.38万亿,1.48万亿,1.38万亿,1.15万亿,7728.01亿,3003.72亿,1370.50亿,1114.40亿
所有者权益总计,2001.63亿,2418.13亿,2305.34亿,1917.45亿,1596.12亿,1048.95亿,657.75亿,442.20亿,289.85亿,220.38亿
同比(%),-17.53,4.89,20.23,20.13,52.16,59.48,48.74,52.56,31.53,29.59
经营活动产生的现金流量净额,-204.53亿,260.14亿,84.38亿,-172.04亿,124.14亿,250.66亿,201.17亿,66.19亿,-157.27亿,40.86亿
每股净资产(元),9.59,11.62,10.96,9.61,8.38,5.53,3.73,2.73,2.04,-
每股经营现金流(元),-1.54,1.96,0.61,-1.29,0.93,1.89,1.51,0.50,-1.20,-
加权净资产收益率(%),-17.99,5.44,20.65,26.77,40.63,40.11,29.58,28.19,19.73,21.38
毛利率(%),10.41,13.64,19.91,23.48,28.70,28.55,25.31,23.13,22.04,29.27
净利率(%),-11.67,2.97,9.15,12.16,14.18,12.82,10.76,10.17,8.79,11.75
资产负债率(%),83.94,82.65,85.66,88.52,89.66,91.67,92.16,87.17,82.54,83.49
流动比率,1.16,1.17,1.16,1.09,1.10,1.08,1.04,1.07,1.11,1.13
速动比率,0.45,0.45,0.45,0.37,0.47,0.55,0.60,0.53,0.39,0.46
