0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2263.36亿,-,5241.81亿,-,4866.41亿,3804.74亿,2295.11亿,1546.17亿,1136.47亿,847.35亿
同比(%),39.22,-,-,-,27.9,65.78,48.44,36.05,34.12,34.82
利润总额,-461.48亿,53.61亿,689.49亿,855.29亿,989.39亿,795.63亿,465.22亿,213.91亿,148.33亿,163.69亿
净利润,-514.61亿,-29.62亿,409.82亿,541.18亿,612.02亿,485.42亿,287.52亿,136.63亿,97.12亿,106.12亿
同比(%),-2798.53,-107.23,-24.27,-11.57,26.08,68.83,110.43,40.69,-8.48,19.94
资产总计,1.62万亿,1.74万亿,1.95万亿,2.02万亿,1.91万亿,1.63万亿,1.05万亿,5915.72亿,3619.56亿,2680.32亿
同比(%),-14.43,-10.47,-3.35,5.7,17.03,55.26,77.44,63.44,35.04,29.96
负债总计,1.36万亿,1.43万亿,1.65万亿,1.76万亿,1.69万亿,1.46万亿,9330.57亿,5099.56亿,2726.16亿,2055.90亿
所有者权益总计,2543.69亿,3095.73亿,3006.27亿,2570.03亿,2186.08亿,1734.08亿,1166.12亿,816.15亿,893.40亿,624.42亿
同比(%),-16.05,2.98,16.97,17.56,26.07,48.71,42.88,-8.65,43.08,35.71
经营活动产生的现金流量净额,33.86亿,356.21亿,108.55亿,-216.31亿,146.66亿,293.81亿,240.84亿,412.63亿,-175.90亿,-43.32亿
基本每股收益(元),-,-,1.22,-,1.85,1.61,1.23,0.52,0.43,0.53
稀释每股收益(元),-,-,1.21,-,1.79,1.55,1.22,-,-,-
每股净资产(元),-,-,91.45,-,73.45,58.93,3.83,2.73,2.23,2.34
每股经营现金流(元),-,-,5.03,-,7.15,14.46,0.98,1.61,-0.60,-0.18
加权净资产收益率(%),-,-3.02,14.39,21.51,29.26,32.44,31.82,17.01,15.21,20.33
毛利率(%),-,-,17.91,-,26.17,28.03,26.75,21.84,20.49,26.25
净利率(%),-22.74,-,7.82,-,12.58,12.76,12.53,8.84,8.55,12.52
资产负债率(%),84.28,82.25,84.57,87.25,88.54,89.36,88.89,86.20,75.32,76.70
流动比率,-,1.25,1.24,1.17,1.17,1.15,1.13,1.20,1.35,1.23
速动比率,-,1.25,0.47,1.17,0.55,0.59,1.12,1.19,1.34,1.22
