0,2020,2019,2018,2017,2016,2015,2014
营业总收入,161.53亿,144.47亿,108.83亿,88.30亿,71.45亿,68.31亿,62.96亿
同比(%),11.81,32.75,23.25,23.57,4.61,8.5,66.66
利润总额,28.05亿,17.25亿,21.10亿,20.07亿,16.32亿,11.81亿,8.57亿
净利润,19.17亿,11.61亿,15.25亿,14.46亿,11.55亿,8.70亿,6.51亿
同比(%),65.15,-23.9,5.52,25.14,32.77,33.77,7.76
资产总计,581.70亿,492.23亿,405.94亿,349.24亿,255.38亿,167.97亿,121.61亿
同比(%),18.18,21.26,16.23,36.76,52.04,38.12,14.47
负债总计,400.94亿,333.42亿,274.17亿,239.24亿,175.59亿,101.09亿,65.87亿
所有者权益总计,180.76亿,158.81亿,131.77亿,110.00亿,79.79亿,66.88亿,55.75亿
同比(%),13.82,20.52,19.79,37.86,19.3,19.97,20.23
经营活动产生的现金流量净额,32.66亿,8.56亿,9.42亿,9.62亿,-11.40亿,3.04亿,2.29亿
基本每股收益(元),-,-,-,1.44,-,-,-
每股净资产(元),17.51,14.98,11.67,9.78,7.98,6.73,7.53
每股经营现金流(元),3.63,0.95,1.05,1.07,-1.27,0.34,0.35
加权净资产收益率(%),12.51,13.75,13.41,14.74,15.38,13.94,11.60
毛利率(%),27.77,30.45,30.72,29.77,29.31,20.32,19.63
净利率(%),11.87,8.04,14.02,16.37,16.17,12.74,10.33
资产负债率(%),68.93,67.74,67.54,68.50,68.76,60.18,54.16
流动比率,1.66,1.79,1.60,1.74,1.99,1.87,1.48
速动比率,0.46,0.47,0.52,0.62,0.83,0.97,0.91
