0,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,656.59亿,1094.37亿,905.34亿,863.86亿,585.43亿,283.50亿,305.52亿,237.67亿
同比(%),14.35,20.88,4.8,47.56,106.5,-7.21,28.55,79.43
利润总额,59.39亿,100.09亿,82.38亿,71.96亿,46.21亿,21.39亿,20.91亿,16.41亿
净利润,36.36亿,63.15亿,56.20亿,45.81亿,31.65亿,15.09亿,14.45亿,10.84亿
同比(%),-1,12.37,22.66,44.75,109.79,4.43,33.21,67.27
资产总计,4433.79亿,4150.62亿,3596.34亿,3088.02亿,2473.84亿,1331.60亿,799.58亿,530.01亿
同比(%),5.71,15.41,16.46,24.83,85.78,66.54,50.86,43.41
负债总计,3715.53亿,3433.72亿,2976.54亿,2580.87亿,2078.85亿,1093.28亿,648.87亿,457.15亿
所有者权益总计,718.26亿,716.90亿,619.80亿,507.16亿,394.99亿,238.33亿,150.71亿,72.86亿
同比(%),6.38,15.67,22.21,28.4,65.73,58.14,106.83,59.57
经营活动产生的现金流量净额,195.09亿,199.06亿,147.19亿,202.03亿,111.34亿,-21.99亿,-59.17亿,-61.04亿
每股净资产(元),1.98,1.86,1.60,1.42,1.30,1.22,1.29,1.13
每股经营现金流(元),2.45,2.50,1.85,2.64,1.55,-0.31,-1.57,-2.89
加权净资产收益率(%),6.04,13.84,15.83,10.87,14.11,6.80,7.55,17.69
毛利率(%),14.31,17.44,21.28,20.35,16.85,16.90,19.08,17.73
净利率(%),5.54,5.77,6.21,5.30,5.41,5.32,4.73,4.56
资产负债率(%),83.80,82.73,82.77,83.58,84.03,82.10,81.15,86.25
流动比率,1.24,1.36,1.49,1.46,1.65,2.24,1.61,1.37
速动比率,0.51,0.58,0.59,0.64,0.65,0.89,0.70,0.41
