0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,124.86亿,267.37亿,270.71亿,104.12亿,232.41亿,243.06亿,217.01亿,136.72亿,103.76亿,78.37亿
同比(%),0.75,-1.23,160.01,-55.2,-4.38,12.01,58.73,31.77,32.4,4.9
税前利润,-91.84亿,-131.58亿,31.63亿,1.47亿,66.05亿,67.35亿,61.90亿,41.97亿,31.43亿,26.92亿
净利润,-90.33亿,-132.69亿,12.83亿,2.28亿,39.67亿,37.26亿,31.27亿,20.88亿,16.68亿,13.63亿
同比(%),-2662.04,-1134.24,462.15,-94.25,6.46,19.16,49.73,25.19,22.38,-8.62
资产总额,1249.18亿,1434.54亿,1743.81亿,1781.98亿,1414.95亿,1150.63亿,799.05亿,688.61亿,528.46亿,390.75亿
同比(%),-26.68,-17.74,-2.14,25.94,22.97,44,16.04,30.3,35.24,42.81
负债总额,1109.86亿,1183.78亿,1329.86亿,1438.95亿,1127.68亿,936.33亿,624.62亿,571.88亿,426.05亿,296.85亿
股东权益合计,139.32亿,250.75亿,413.95亿,343.03亿,287.28亿,214.30亿,174.43亿,116.73亿,102.41亿,93.90亿
同比(%),-65.72,-39.42,20.67,19.41,34.05,22.86,49.44,13.98,9.07,25.67
经营活动产生的现金流量净额,5.70亿,-90.57亿,17.79亿,-59.19亿,-58.59亿,31.57亿,25.12亿,59.00亿,-4.68亿,3.48亿
基本每股收益(元),-0.99,-1.86,0.12,-,0.71,0.78,0.70,0.47,0.45,0.36
每股净资产(元),0.29,1.61,3.53,3.99,4.02,3.66,3.46,2.80,2.52,2.37
每股经营现金净流量(元),-,-1.44,0.26,-1.04,-,-,-,1.55,-0.12,0.10
平均净资产收益率(%),-81.43,-63.09,3.40,0.49,17.01,19.54,20.63,17.50,18.62,16.15
销售毛利率(%),1.6,2.71,15,4.61,26.21,30.72,35.4,36.27,35.75,36.3
销售净利率(%),-72.35,-49.63,4.74,2.19,17.07,15.33,14.41,15.28,16.08,17.39
资产负债率(%),88.85,82.52,76.26,80.75,79.7,81.38,78.17,83.05,80.62,75.97
流动比率,0.94,1.03,1.65,1.55,1.64,1.4,1.32,1.47,1.75,1.71
速动比率,0.47,0.47,1.1,1.09,1.28,0.99,1.1,0.87,0.93,1
