0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,62.41亿,76.61亿,77.71亿,62.38亿,46.52亿,30.97亿,20.39亿,14.73亿,12.00亿,10.59亿
同比(%),4.77,-1.42,24.57,34.09,50.21,51.89,38.42,22.75,13.31,27.44
利润总额,6914.14万,2.01亿,8.21亿,10.39亿,4.32亿,2.23亿,2.61亿,3.16亿,1.99亿,9920.04万
净利润,7977.54万,1.78亿,6.73亿,8.90亿,3.63亿,1.85亿,2.17亿,2.64亿,1.65亿,7855.98万
同比(%),-70.24,-73.55,-24.45,145.03,96.41,-14.75,-17.8,60,110.03,98.72
资产总计,147.99亿,126.39亿,107.89亿,81.48亿,59.93亿,49.24亿,25.45亿,20.64亿,13.23亿,9.46亿
同比(%),12.97,17.15,32.41,35.96,21.72,93.48,23.3,56.01,39.85,26.47
负债总计,91.44亿,70.22亿,58.22亿,39.96亿,28.45亿,20.14亿,11.02亿,8.06亿,7.63亿,6.23亿
所有者权益总计,56.55亿,56.18亿,49.68亿,41.52亿,31.49亿,29.10亿,14.43亿,12.58亿,5.60亿,3.22亿
同比(%),-0.82,13.08,19.64,31.89,8.2,101.66,14.71,124.64,73.91,84
经营活动产生的现金流量净额,-8.48亿,2.35亿,6.11亿,5.52亿,1.75亿,-1.98亿,9992.03万,1.14亿,1636.45万,5774.03万
基本每股收益(元),0.07,0.15,0.60,0.82,0.60,0.31,0.48,0.63,0.44,0.24
稀释每股收益(元),0.07,0.15,0.59,0.82,0.60,0.31,0.48,0.63,0.44,0.24
每股净资产(元),4.73,4.76,4.32,6.79,5.18,4.77,3.15,2.75,2.85,1.79
每股经营现金流(元),-0.72,0.20,0.53,0.90,0.29,-0.33,0.22,0.25,0.08,0.66
加权净资产收益率(%),1.47,3.31,14.46,24.53,11.96,6.69,16.15,31.47,37.41,36.68
毛利率(%),21.19,21.21,28.51,36.94,33.53,31.40,38.03,49.71,44.71,35.42
净利率(%),1.28,2.32,8.66,14.27,7.81,5.98,10.67,17.95,13.75,7.42
资产负债率(%),61.79,55.55,53.96,49.04,47.47,40.90,43.31,39.06,57.69,65.94
流动比率,1.72,1.55,1.69,1.63,1.64,2.04,1.69,1.96,1.37,1.20
速动比率,1.64,1.46,1.61,1.54,1.43,1.88,1.49,1.77,1.23,1.01
