0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,75.47万,152.62万,117.07万,86.32万,189.39万,189.39万,501.23万,394.29万,727.74万,777.29万
同比(%),-,30.37,35.62,-54.42,-,-62.22,27.12,-45.82,-6.37,8.35
利润总额,2983.27万,-1845.54万,-6968.17万,-3746.92万,-3164.29万,-2278.03万,-697.41万,464.70万,1474.59万,2018.83万
净利润,2983.27万,-1845.54万,-8318.42万,-3133.64万,-3028.19万,-2132.71万,-668.29万,493.09万,1318.38万,1747.26万
同比(%),1315.38,77.81,-165.46,-3.48,-41.99,-219.13,-235.53,-62.6,-24.55,25.64
资产总计,2.97亿,2.67亿,2.85亿,3.62亿,3.88亿,4.15亿,4.36亿,3.94亿,3.97亿,3.52亿
同比(%),5.13,-6.32,-21.31,-6.68,-6.62,-4.85,10.89,-0.96,13.01,5.67
负债总计,2031.04万,2037.69万,1991.74万,1383.14万,839.65万,562.26万,546.88万,1153.32万,2288.14万,3033.16万
所有者权益总计,2.76亿,2.46亿,2.65亿,3.48亿,3.79亿,4.10亿,4.31亿,3.82亿,3.74亿,3.21亿
同比(%),5.27,-6.97,-23.9,-8.26,-7.39,-4.95,12.81,2.02,16.55,5.75
经营活动产生的现金流量净额,-13.62万,-29.44万,1307.82万,102.77万,-109.28万,-1150.79万,-356.00万,-2109.86万,340.08万,-140.34万
基本每股收益(元),0.04,-0.05,-0.20,-0.10,-0.06,-0.04,-0.01,0.01,0.04,0.09
稀释每股收益(元),0.04,-0.05,-0.20,-0.10,-0.06,-0.04,-0.01,0.01,0.04,0.09
每股净资产(元),0.64,0.61,0.65,0.85,0.95,1.01,1.06,1.07,1.06,1.37
每股经营现金流(元),0.00,0.00,0.00,0.00,0.00,0.00,-0.11,-0.08,0.03,-0.70
加权净资产收益率(%),5.85,-7.52,-26.59,-11.69,-5.85,-4.96,-1.45,0.14,3.71,5.59
毛利率(%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.66,99.45,99.48
净利率(%),3952.83,-1209.24,-7105.50,-3630.23,-1598.94,-1126.11,-133.33,125.06,181.16,224.79
资产负债率(%),0.00,7.64,6.99,3.82,2.17,1.35,1.25,2.93,5.76,8.63
流动比率,0.00,0.13,0.21,1.46,4.75,7.38,3.75,2.38,3.00,3.78
速动比率,0.00,0.13,0.21,1.46,4.75,7.38,3.75,2.38,3.00,3.78
