0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,40.20亿,97.54亿,157.50亿,217.59亿,190.82亿,139.86亿,97.83亿,109.21亿,81.64亿,73.06亿
同比(%),13.31,-38.07,-27.61,14.03,36.43,42.97,-10.42,33.76,11.75,0.36
税前利润,-26.75亿,-55.36亿,-114.16亿,39.26亿,37.83亿,30.37亿,25.67亿,25.06亿,27.21亿,25.30亿
净利润,-28.05亿,-59.81亿,-108.40亿,17.51亿,15.02亿,11.68亿,14.10亿,10.64亿,14.03亿,13.72亿
同比(%),15.92,44.83,-718.95,16.61,28.57,-17.13,32.45,-24.13,2.22,11.55
资产总额,922.99亿,950.31亿,1051.09亿,1055.50亿,956.00亿,944.46亿,689.57亿,497.52亿,445.51亿,412.54亿
同比(%),-6.8,-9.59,-0.42,10.41,1.22,36.96,38.6,11.67,7.99,34.98
负债总额,905.38亿,904.55亿,944.56亿,812.27亿,750.08亿,749.92亿,512.59亿,366.32亿,323.11亿,298.42亿
股东权益合计,17.62亿,45.76亿,106.53亿,243.24亿,205.92亿,194.55亿,176.98亿,131.21亿,122.40亿,114.12亿
同比(%),-75.25,-57.05,-56.2,18.12,5.85,9.92,34.89,7.2,7.25,45.73
经营活动产生的现金流量净额,-7.21亿,-7.77亿,-98.14亿,35.52亿,-13.17亿,4.99亿,6.82亿,-17.52亿,19.63亿,-17.43亿
基本每股收益(元),-0.47,-1.05,-1.81,0.17,0.15,0.13,0.20,0.14,0.21,0.22
每股净资产(元),-0.29,0.18,1.10,2.52,2.38,2.25,2.19,1.90,1.81,1.64
每股经营现金净流量(元),-,-0.13,-1.70,0.62,-,-,0.12,-0.30,0.34,-0.30
平均净资产收益率(%),905.85,-164.28,-100.32,6.92,6.54,5.69,9.79,7.54,12.19,14.97
销售毛利率(%),14.33,17.71,14.84,24.56,27.97,29.92,29.62,32.31,30.85,38.42
销售净利率(%),-69.78,-61.31,-68.82,8.05,7.87,8.35,14.41,9.75,17.18,18.78
资产负债率(%),98.09,95.19,89.86,76.96,78.46,79.4,74.33,73.63,72.53,72.34
流动比率,0.84,0.84,0.96,1.5,1.5,1.65,1.73,2.05,1.59,1.55
速动比率,0.31,0.32,0.33,0.85,0.74,0.85,0.84,1.07,0.48,0.48
