0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,31.68亿,84.40亿,126.22亿,181.79亿,143.83亿,91.90亿,72.44亿,78.15亿,76.04亿,74.77亿
同比(%),9.42,-33.13,-30.57,26.39,56.51,26.85,-7.31,2.78,1.7,-0.22
利润总额,-7.67亿,-13.46亿,-100.37亿,28.96亿,29.77亿,28.43亿,15.67亿,18.57亿,18.08亿,19.80亿
净利润,-7.95亿,-15.17亿,-90.04亿,17.35亿,19.30亿,18.89亿,11.14亿,13.49亿,12.91亿,14.13亿
同比(%),2.32,83.15,-619.08,-10.14,2.2,69.49,-17.4,4.53,-8.67,17.53
资产总计,695.71亿,729.12亿,841.17亿,748.69亿,710.45亿,684.33亿,478.58亿,332.15亿,287.47亿,292.15亿
同比(%),-,-13.32,12.35,5.38,3.82,42.99,44.09,15.54,-1.6,29.69
负债总计,593.04亿,618.50亿,708.37亿,507.48亿,511.73亿,507.83亿,308.26亿,217.62亿,190.79亿,209.08亿
所有者权益总计,102.67亿,110.62亿,132.80亿,241.22亿,198.71亿,176.50亿,170.32亿,114.53亿,96.68亿,83.07亿
同比(%),-,-16.7,-44.94,21.39,12.59,3.63,48.71,18.46,16.39,32.69
经营活动产生的现金流量净额,-6000.31万,19.24亿,-59.40亿,14.59亿,8.48亿,8.02亿,3.17亿,28.83亿,11.15亿,9.74亿
每股净资产(元),3.52,3.99,4.97,10.33,9.53,8.69,7.43,6.25,5.34,4.55
每股经营现金流(元),-0.04,1.18,-3.66,0.90,0.52,0.49,0.20,1.77,0.69,0.60
加权净资产收益率(%),-12.45,-21.76,-70.91,7.26,8.41,12.30,8.76,13.95,15.98,21.09
毛利率(%),-,19.53,15.64,28.63,29.92,34.41,32.42,27.78,32.03,30.77
净利率(%),-,-17.98,-71.34,9.54,13.42,20.55,15.38,17.26,16.97,18.90
资产负债率(%),85.24,84.83,84.21,67.78,72.03,74.21,67.23,65.52,66.37,71.57
流动比率,1.09,1.05,1.27,1.46,1.41,1.56,1.77,1.99,1.56,1.39
速动比率,0.34,0.36,0.41,0.74,0.61,0.64,0.81,1.03,0.53,0.52
