0,2017,2016,2015,2014
营业总收入,32.31亿,60.81亿,91.12亿,76.80亿
同比(%),5.63,-33.26,18.65,34.97
利润总额,2348.16万,4.74亿,10.35亿,13.01亿
净利润,1.72亿,4.74亿,8.05亿,9.71亿
同比(%),59.39,-41.12,-17.1,29.99
资产总计,710.54亿,462.17亿,181.85亿,181.00亿
同比(%),174.2,154.15,0.47,44.19
负债总计,600.92亿,368.88亿,136.63亿,147.41亿
所有者权益总计,109.63亿,93.29亿,45.22亿,33.59亿
同比(%),103.05,106.31,34.62,56.96
经营活动产生的现金流量净额,-27.60亿,-89.58亿,15.47亿,-3.30亿
每股净资产(元),35.92,35.75,28.57,23.93
每股经营现金流(元),-27.60,-89.58,15.47,-3.30
加权净资产收益率(%),4.48,16.06,16.08,23.55
毛利率(%),20.37,21.36,18.73,28.41
净利率(%),5.31,7.79,8.83,12.64
资产负债率(%),84.57,79.53,75.13,81.44
流动比率,1.46,1.68,1.54,1.43
速动比率,0.44,0.51,0.48,0.35
