0,2022,2021,2020,2019
营业总收入,13.81亿,7.10亿,-,-
同比(%),94.44,-,-,-
利润总额,2.07亿,-1906.96万,-3064.10万,-499.40万
净利润,1.82亿,-3484.79万,-3064.10万,-499.40万
同比(%),621.74,-13.73,-513.56,-
资产总计,45.25亿,56.16亿,46.33亿,29.37亿
同比(%),-19.42,21.21,57.77,-
负债总计,23.70亿,35.93亿,25.76亿,18.48亿
所有者权益总计,21.55亿,20.23亿,20.58亿,10.88亿
同比(%),6.57,-1.69,89.08,-
经营活动产生的现金流量净额,-2.15亿,-3.24亿,-1.02亿,2.67亿
每股净资产(元),10.78,10.11,10.29,5.44
每股经营现金流(元),-1.07,-1.62,-0.51,1.33
加权净资产收益率(%),8.70,-1.71,-1.95,-0.46
毛利率(%),17.03,8.03,-,-
净利率(%),13.17,-4.91,-,-
资产负债率(%),52.37,63.98,55.59,62.94
流动比率,5.06,2.65,3.97,2.35
速动比率,2.70,1.24,1.08,0.08
