0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,45.45亿,62.29亿,69.87亿,48.64亿,38.04亿,32.08亿,28.90亿,23.24亿,15.81亿,14.40亿
同比(%),-3.17,-10.85,43.64,27.86,18.57,11.02,24.33,47.06,9.73,15.62
利润总额,4.20亿,-4.43亿,3.71亿,6.51亿,5.09亿,4.20亿,3.54亿,2.71亿,1.43亿,1.08亿
净利润,3.74亿,-3.47亿,3.24亿,5.66亿,4.33亿,3.62亿,3.02亿,2.33亿,1.16亿,7695.05万
同比(%),206.22,-206.95,-42.76,30.89,19.42,20.11,29.5,101.31,50.41,20.37
资产总计,98.27亿,101.79亿,112.22亿,75.80亿,51.79亿,43.63亿,35.38亿,21.48亿,19.73亿,18.02亿
同比(%),-7.45,-9.29,48.05,46.36,18.7,23.31,64.71,8.86,9.5,10.77
负债总计,59.81亿,66.37亿,69.52亿,39.84亿,22.57亿,18.14亿,13.21亿,13.56亿,14.15亿,14.22亿
所有者权益总计,38.45亿,35.41亿,42.69亿,35.95亿,29.22亿,25.49亿,22.18亿,7.92亿,5.58亿,3.80亿
同比(%),9.39,-17.05,18.75,23.05,14.61,14.96,179.98,41.91,46.88,26.84
经营活动产生的现金流量净额,4.76亿,6.02亿,-8396.85万,5.76亿,9.21亿,2.75亿,3.70亿,2.29亿,1.49亿,1.02亿
基本每股收益(元),0.80,-0.92,0.77,1.40,1.08,0.90,1.70,1.97,1.04,0.68
稀释每股收益(元),0.79,-0.92,0.77,1.39,1.07,0.90,1.70,1.97,1.04,0.68
每股净资产(元),8.02,7.37,8.79,8.50,7.24,10.78,14.06,6.70,4.72,3.72
每股经营现金流(元),1.15,1.45,-0.20,1.42,2.28,1.16,2.35,1.93,1.26,1.00
加权净资产收益率(%),9.81,-10.88,8.74,17.91,15.91,15.20,32.00,34.51,27.64,23.35
毛利率(%),29.59,23.65,29.11,34.29,38.51,36.77,36.03,34.81,34.04,30.39
净利率(%),8.23,-5.57,4.64,11.65,11.38,11.29,10.44,10.02,7.32,5.34
资产负债率(%),60.87,65.20,61.95,52.57,43.58,41.57,37.32,63.13,71.72,78.91
流动比率,1.33,1.33,1.56,1.50,1.79,2.12,2.31,1.27,1.06,0.94
速动比率,0.94,0.90,1.10,1.05,1.28,1.59,1.74,0.74,0.53,0.42
