0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,133.29亿,301.57亿,338.10亿,485.44亿,516.47亿,343.67亿,300.87亿,110.51亿,74.15亿,41.00亿
同比(%),-6.46,-10.8,-30.35,-6.01,50.28,14.22,172.26,49.04,80.85,92.54
利润总额,-9.85亿,-100.11亿,26.28亿,44.41亿,92.03亿,59.28亿,47.01亿,20.48亿,18.79亿,6.54亿
净利润,-13.12亿,-95.91亿,16.16亿,32.38亿,69.47亿,45.06亿,34.03亿,16.01亿,15.19亿,5.42亿
同比(%),67.53,-693.49,-50.09,-53.4,54.18,32.41,112.51,5.45,180.21,3.93
资产总计,1733.62亿,1885.28亿,2342.22亿,2202.72亿,2001.90亿,1941.17亿,1637.50亿,962.42亿,363.60亿,323.23亿
同比(%),-15.06,-19.51,6.33,10.03,3.13,18.54,70.14,164.69,12.49,70.19
负债总计,1306.40亿,1438.60亿,1755.22亿,1631.19亿,1530.52亿,1542.49亿,1286.22亿,703.25亿,288.10亿,282.29亿
所有者权益总计,427.22亿,446.68亿,587.00亿,571.53亿,471.38亿,398.68亿,351.27亿,259.17亿,75.50亿,40.94亿
同比(%),-12.14,-23.91,2.71,21.25,18.23,13.5,35.54,243.26,84.41,165.51
经营活动产生的现金流量净额,10.40亿,29.05亿,37.77亿,-8.18亿,151.65亿,144.13亿,-95.86亿,-162.27亿,30.55亿,-74.03亿
基本每股收益(元),-0.33,-2.38,0.40,-,-,-,-,-,-,-
稀释每股收益(元),-0.33,-,-,-,-,-,-,-,-,-
每股净资产(元),4.28,4.39,6.25,5.94,5.28,4.27,3.62,3.00,2.25,1.36
每股经营现金流(元),0.26,0.72,0.94,-0.20,3.77,3.58,-2.51,-4.48,1.02,-2.47
加权净资产收益率(%),-2.41,-39.22,4.96,9.57,22.21,20.95,17.79,14.54,28.66,19.65
毛利率(%),2.81,3.88,13.25,-,25.01,23.94,20.22,24.81,42.27,33.54
净利率(%),-9.84,-31.80,4.78,-,13.45,13.11,11.31,14.49,20.48,13.22
资产负债率(%),75.36,76.31,74.94,74.05,76.45,79.46,78.55,73.07,79.23,87.33
流动比率,1.29,1.36,1.39,1.48,1.43,1.44,1.89,2.28,1.46,1.94
速动比率,0.38,0.39,0.45,0.48,0.41,0.39,0.57,1.27,0.24,0.79
