0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,554.16亿,898.72亿,1913.54亿,2255.16亿,1626.97亿,1083.13亿,553.75亿,259.01亿,115.98亿,160.68亿
同比(%),23.08,-53.03,-15.15,38.61,50.21,95.6,113.79,123.33,-27.82,-38.47
利润总额,-100.12亿,-225.01亿,-389.93亿,334.67亿,366.79亿,178.32亿,102.37亿,46.57亿,57.50亿,42.24亿
净利润,-124.45亿,-185.74亿,-354.29亿,262.88亿,305.89亿,138.31亿,100.10亿,41.22亿,47.53亿,36.81亿
同比(%),23.12,47.58,-234.77,-14.06,121.17,38.17,142.87,-13.29,29.14,12.88
资产总计,1.03万亿,1.05万亿,1.13万亿,1.05万亿,9173.02亿,6928.50亿,5996.00亿,2669.63亿,902.35亿,755.70亿
同比(%),-6.21,-7.66,8.05,14.2,32.4,15.55,124.6,195.85,19.41,13.85
负债总计,9652.56亿,9658.23亿,1.02万亿,8801.83亿,7931.52亿,6222.60亿,5510.48亿,2314.97亿,648.56亿,587.48亿
所有者权益总计,659.18亿,792.78亿,1098.02亿,1673.57亿,1241.50亿,705.90亿,485.52亿,354.67亿,253.80亿,168.22亿
同比(%),-28.21,-27.8,-34.39,34.8,75.87,45.39,36.89,39.74,50.88,28.13
经营活动产生的现金流量净额,-97.82亿,293.19亿,-301.61亿,779.39亿,342.91亿,414.05亿,895.07亿,11.92亿,59.38亿,180.02亿
每股净资产(元),3.08,3.81,4.91,7.99,6.47,3.87,5.21,4.09,3.54,15.57
每股经营现金流(元),-0.65,1.95,-2.01,5.20,2.29,2.76,12.79,0.17,0.85,20.00
加权净资产收益率(%),-21.03,-24.93,-32.27,20.69,36.93,28.46,29.92,14.33,22.91,29.13
毛利率(%),1.75,12.18,15.49,23.33,26.38,24.12,181.21,19.94,15.49,31.08
净利率(%),-22.46,-20.67,-18.51,11.66,18.80,12.77,18.08,15.91,40.98,22.91
资产负债率(%),93.61,92.41,90.30,84.02,86.47,89.81,91.90,86.71,71.87,77.74
流动比率,0.91,0.90,0.97,1.16,1.15,1.16,1.25,1.51,1.36,1.31
速动比率,0.21,0.20,0.24,0.35,0.38,0.43,0.45,0.74,0.69,0.72
