0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2.56亿,5.10亿,5.24亿,4.43亿,5.36亿,5.77亿,4.63亿,3.34亿,2.12亿,1.27亿
同比(%),1.83,-2.73,18.45,-17.47,-7.12,24.65,38.48,57.97,66.8,46.1
利润总额,3688.76万,5870.57万,4599.98万,4106.57万,3465.53万,7912.72万,5920.40万,3398.24万,2545.96万,1120.18万
净利润,3160.03万,5091.59万,3826.28万,3637.54万,2790.01万,5903.66万,4709.79万,2651.70万,2031.16万,894.34万
同比(%),20.93,33.07,5.19,30.38,-52.74,25.35,77.61,30.55,127.11,109.83
资产总计,4.63亿,4.79亿,4.24亿,3.57亿,3.85亿,3.72亿,2.68亿,1.49亿,7233.79万,4490.07万
同比(%),14.94,12.9,18.6,-7.11,3.44,39.06,79.98,105.47,61.11,74.48
负债总计,2.30亿,2.42亿,2.16亿,1.68亿,1.59亿,1.63亿,1.03亿,5800.30万,3291.90万,1873.77万
所有者权益总计,2.33亿,2.37亿,2.08亿,1.90亿,2.26亿,2.09亿,1.64亿,9062.71万,3941.89万,2616.30万
同比(%),10.1,13.92,9.64,-16.21,8.42,26.89,81.44,129.91,50.67,72.66
经营活动产生的现金流量净额,1815.91万,1.09亿,7075.68万,6957.87万,-244.80万,1.03亿,7335.99万,1091.87万,2066.91万,1516.36万
基本每股收益(元),0.51,0.82,0.63,0.67,0.47,0.98,0.82,0.85,2.06,4.42
稀释每股收益(元),0.51,0.82,0.63,0.67,0.47,0.98,0.82,0.85,2.06,4.42
每股净资产(元),3.77,3.84,3.38,4.04,3.68,3.38,2.64,8.16,3.54,5.92
每股经营现金流(元),-0.60,1.95,0.15,-0.75,0.67,-0.53,0.83,0.69,0.06,3.66
加权净资产收益率(%),12.12,19.75,16.29,14.87,11.72,30.48,30.37,42.88,60.95,35.42
毛利率(%),41.98,41.94,47.54,42.86,40.55,48.05,48.14,44.98,45.33,56.30
净利率(%),12.35,9.98,7.30,7.64,5.20,10.22,10.17,7.93,9.59,7.04
资产负债率(%),49.62,50.53,50.97,42.75,41.21,43.91,38.53,39.03,45.51,41.73
流动比率,1.97,1.93,1.88,2.22,2.31,2.14,2.41,2.24,1.98,2.34
速动比率,1.96,1.92,1.87,2.22,2.31,2.14,2.41,2.24,1.98,2.34
