0,2018,2017,2016,2015,2014
营业总收入,749.99万,7.32亿,1315.16万,9159.33万,1.99亿
同比(%),-98.98,5469.04,-85.64,-53.97,-70.82
利润总额,-1029.30万,-8549.10万,-4428.74万,515.41万,-10.38亿
净利润,-1029.30万,-8549.10万,-4428.74万,577.92万,-7.26亿
同比(%),87.96,-93.04,-866.32,100.8,-253.49
资产总计,115.01亿,113.74亿,117.51亿,115.77亿,111.99亿
同比(%),-2.3,-3.21,1.5,3.38,-8.41
负债总计,71.27亿,69.90亿,72.81亿,70.63亿,66.91亿
所有者权益总计,43.74亿,43.84亿,44.70亿,45.14亿,45.08亿
同比(%),-2.07,-1.91,-0.98,0.13,-13.87
经营活动产生的现金流量净额,760.79万,8.30亿,-4548.50万,1419.65万,5.37亿
每股净资产(元),86.61,86.82,88.51,89.39,89.27
每股经营现金流(元),0.15,16.44,-0.90,0.28,10.63
加权净资产收益率(%),-0.24,-1.95,-0.99,0.13,-16.11
毛利率(%),-67.55,2.28,-91.10,6.28,45.23
净利率(%),-137.24,-11.67,-336.75,6.31,-364.82
资产负债率(%),61.97,61.45,61.96,61.01,59.74
流动比率,1.21,1.21,1.28,1.30,1.74
速动比率,0.26,0.25,0.18,0.18,0.30
