0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,323.42亿,493.30亿,578.25亿,553.00亿,521.30亿,466.54亿,450.50亿,432.05亿,461.28亿,438.49亿
同比(%),-18.55,-14.69,4.57,6.08,11.74,3.56,4.27,-6.34,5.2,-11.41
利润总额,2.57亿,2.33亿,3.46亿,4.73亿,7.87亿,5.63亿,5.13亿,4.12亿,9.81亿,2.07亿
净利润,1.90亿,1.60亿,2.85亿,3.75亿,6.30亿,4.47亿,3.93亿,3.18亿,8.39亿,8478.91万
同比(%),-33.39,-43.93,-23.79,-40.51,40.96,13.6,23.84,-62.17,889.96,-77.6
资产总计,825.76亿,820.68亿,780.04亿,735.47亿,718.45亿,690.09亿,672.49亿,636.63亿,613.68亿,567.14亿
同比(%),2.11,5.21,6.06,2.37,4.11,2.62,5.63,3.74,8.21,3.28
负债总计,736.20亿,728.16亿,672.17亿,636.53亿,614.40亿,603.67亿,602.68亿,591.48亿,564.60亿,528.70亿
所有者权益总计,89.56亿,92.53亿,107.87亿,98.93亿,104.05亿,86.42亿,69.80亿,45.15亿,49.08亿,38.44亿
同比(%),-10.73,-14.22,9.03,-4.92,20.4,23.8,54.62,-8.02,27.67,0.97
经营活动产生的现金流量净额,-7.44亿,12.42亿,-8.49亿,25.19亿,12.58亿,1.51亿,28.47亿,-5.72亿,13.56亿,3.07亿
基本每股收益(元),0.08,-0.01,0.05,0.09,0.23,0.20,0.20,0.20,0.49,0.04
稀释每股收益(元),0.08,-0.01,0.05,0.09,0.23,0.20,0.20,0.20,0.49,0.04
每股净资产(元),4.25,4.10,4.01,3.91,3.84,3.55,3.38,2.89,2.82,2.26
每股经营现金流(元),-0.39,0.65,-0.47,1.39,0.69,0.08,1.57,-0.38,0.83,0.19
加权净资产收益率(%),2.07,1.53,2.71,3.08,6.21,5.79,6.68,7.06,19.13,1.61
毛利率(%),5.27,4.87,4.83,3.68,4.35,4.95,4.84,5.88,8.29,7.89
净利率(%),0.59,0.32,0.49,0.68,1.21,0.96,0.87,0.84,1.82,0.19
资产负债率(%),89.15,88.73,86.17,86.55,85.52,87.48,89.62,92.14,92.00,93.22
流动比率,0.99,1.00,1.07,1.06,1.07,1.03,0.99,0.96,1.01,0.92
速动比率,0.85,0.86,0.89,0.87,0.59,0.56,0.53,0.55,0.62,0.52
