0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,694.11亿,2377.46亿,2150.55亿,1763.46亿,1441.18亿,1115.98亿,669.77亿,455.47亿,412.64亿,495.89亿
同比(%),-31.9,10.55,21.95,22.36,29.14,66.62,47.05,10.38,-16.79,26.27
利润总额,98.17亿,408.63亿,408.98亿,377.24亿,362.96亿,286.92亿,208.66亿,114.69亿,119.21亿,124.19亿
净利润,75.87亿,309.60亿,316.21亿,286.03亿,270.56亿,213.90亿,158.20亿,87.87亿,92.24亿,91.63亿
同比(%),-33.56,-2.09,10.55,5.72,26.49,35.22,80.03,-4.74,0.67,40
资产总计,6853.14亿,6878.75亿,7865.16亿,6575.73亿,5891.91亿,4647.29亿,3412.72亿,2044.43亿,1425.38亿,1289.94亿
同比(%),-16.82,-12.54,19.61,11.61,26.78,36.18,66.93,43.43,10.5,11.3
负债总计,4569.50亿,4611.30亿,5499.41亿,4535.82亿,4062.84亿,3136.91亿,2279.49亿,1221.54亿,829.36亿,815.55亿
所有者权益总计,2283.64亿,2267.45亿,2365.75亿,2039.91亿,1829.07亿,1510.39亿,1133.24亿,822.89亿,596.02亿,474.39亿
同比(%),-8.09,-4.15,15.97,11.53,21.1,33.28,37.71,38.06,25.64,20.76
经营活动产生的现金流量净额,77.98亿,11.30亿,139.38亿,214.81亿,168.61亿,44.57亿,5.18亿,8.97亿,64.03亿,70.48亿
每股净资产(元),84.82,81.97,77.24,71.69,64.22,59.54,48.09,39.33,33.65,27.62
每股经营现金流(元),5.96,0.86,10.66,16.42,12.89,3.41,0.40,0.58,4.90,5.39
加权净资产收益率(%),5.68,20.44,23.31,22.38,22.38,23.29,20.10,15.53,20.21,24.72
毛利率(%),20.06,-,-,29.23,34.49,35.22,35.23,31.35,32.57,31.58
净利率(%),10.93,-,-,16.22,18.77,19.17,23.62,19.29,22.35,18.48
资产负债率(%),66.68,66.87,69.92,68.98,68.96,67.50,66.79,60.02,58.19,63.22
流动比率,1.58,1.62,1.49,1.55,1.55,1.65,1.59,1.93,1.86,1.65
速动比率,0.55,0.60,0.54,0.51,0.51,0.52,0.57,0.62,0.65,0.42
