0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,59.14亿,90.73亿,206.39亿,239.87亿,217.24亿,186.63亿,175.51亿,197.15亿,155.67亿,115.40亿
同比(%),4.64,-56.04,-13.96,10.42,16.4,6.34,-10.98,26.65,34.9,51.09
利润总额,-15.54亿,-173.72亿,-131.64亿,-1.13亿,5.68亿,5.37亿,12.96亿,21.38亿,19.36亿,19.23亿
净利润,-12.39亿,-186.54亿,-115.30亿,-1.48亿,4.36亿,3.53亿,10.63亿,16.52亿,16.31亿,13.95亿
同比(%),9.18,-61.78,-7692.38,-133.92,23.67,-66.83,-35.62,1.25,16.9,81.23
资产总计,1547.77亿,1490.92亿,1624.49亿,1527.60亿,1339.89亿,1189.34亿,1150.44亿,777.25亿,607.83亿,460.17亿
同比(%),-6.25,-8.22,6.34,14.01,12.66,3.38,48.01,27.87,32.09,18.49
负债总计,1751.11亿,1682.69亿,1626.93亿,1411.37亿,1209.03亿,1061.27亿,1033.28亿,688.01亿,538.90亿,396.35亿
所有者权益总计,-203.34亿,-191.77亿,-2.44亿,116.23亿,130.86亿,128.07亿,117.16亿,89.24亿,68.93亿,63.82亿
同比(%),-1122.72,-7767.15,-102.1,-11.18,2.18,9.31,31.29,29.46,8.02,89.42
经营活动产生的现金流量净额,39.64亿,35.56亿,162.68亿,157.61亿,130.78亿,21.12亿,-32.35亿,5.84亿,-3.70亿,14.66亿
每股净资产(元),-45.42,-41.57,-23.19,-10.17,-3.17,-2.30,-0.32,0.36,-1.30,5.11
每股经营现金流(元),13.21,11.85,54.23,52.54,43.59,7.04,-10.78,1.95,-1.23,4.89
加权净资产收益率(%),-,-,-,-,-,-,-2386.09,54.31,38.18,33.83
毛利率(%),10.44,-6.09,8.31,30.42,32.61,30.32,39.16,33.51,35.24,31.14
净利率(%),-99.68,-420.13,-171.40,-1.93,3.33,2.41,6.61,8.44,10.48,12.09
资产负债率(%),113.14,112.86,100.15,92.39,90.23,89.23,89.82,88.52,88.66,86.13
流动比率,0.95,0.95,0.87,1.39,1.49,0.89,0.99,1.86,1.25,1.26
速动比率,0.48,0.45,0.86,0.75,0.83,0.41,0.42,0.72,0.35,0.27
