0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,37.20亿,53.89亿,56.42亿,86.57亿,96.92亿,108.06亿,93.58亿,117.42亿,69.16亿,36.92亿
同比(%),190.95,-4.49,-34.83,-10.67,-10.31,15.47,-20.3,69.77,87.34,-53.39
利润总额,7786.90万,-7.29亿,-7.16亿,1.29亿,9.09亿,9.38亿,8.42亿,10.62亿,8.51亿,7829.59万
净利润,6008.09万,-6.24亿,-7.09亿,1.23亿,6.62亿,6.11亿,5.93亿,5.85亿,6.21亿,-4577.50万
同比(%),126.38,12.01,-675.57,-81.38,8.29,3.08,1.44,-5.84,1456.41,-102.75
资产总计,637.76亿,652.87亿,650.41亿,657.21亿,588.66亿,570.35亿,508.09亿,314.27亿,284.09亿,235.53亿
同比(%),-3.59,0.38,-1.04,11.64,3.21,12.25,61.68,10.62,20.62,58.49
负债总计,558.84亿,574.35亿,565.64亿,546.06亿,496.06亿,481.81亿,427.22亿,242.53亿,219.27亿,175.00亿
所有者权益总计,78.93亿,78.53亿,84.77亿,111.15亿,92.60亿,88.54亿,80.87亿,71.74亿,64.81亿,60.54亿
同比(%),-4.32,-7.37,-23.74,20.03,4.59,9.48,12.74,10.68,7.07,8.26
经营活动产生的现金流量净额,-2.70亿,1.67亿,46.04亿,31.76亿,31.59亿,9.70亿,37.48亿,-12.21亿,11.42亿,-34.37亿
每股净资产(元),3.37,3.33,3.56,3.99,3.93,3.63,3.43,3.10,2.85,2.66
每股经营现金流(元),-0.12,0.07,2.04,1.41,1.40,0.43,1.66,-0.54,0.51,-1.52
加权净资产收益率(%),1.37,-6.66,-6.17,0.21,8.74,5.28,9.19,8.39,10.39,-0.56
毛利率(%),15.89,11.39,14.46,23.00,28.35,31.66,23.50,23.86,30.13,33.65
净利率(%),1.62,-11.58,-12.57,1.42,6.83,5.66,6.34,4.98,8.98,-1.24
资产负债率(%),87.62,87.97,86.97,83.09,84.02,84.48,84.08,77.17,77.19,74.30
流动比率,1.15,1.17,1.22,1.36,1.54,1.60,1.67,1.85,1.69,1.59
速动比率,0.42,0.44,0.42,0.49,0.50,0.57,0.62,0.75,0.49,0.47
