0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,11.37亿,23.58亿,53.99亿,57.60亿,82.89亿,75.79亿,68.75亿,69.65亿,64.18亿,71.04亿
同比(%),-4.71,-56.33,-6.26,-30.51,9.36,10.25,-1.3,8.52,-9.65,23.13
税前利润,-11.69亿,-32.86亿,-37.94亿,18.31亿,40.18亿,6.09亿,12.96亿,5.39亿,10.03亿,13.10亿
净利润,-11.33亿,-33.17亿,-37.30亿,12.84亿,32.15亿,2.43亿,8.49亿,2.31亿,6.13亿,8.10亿
同比(%),-35.19,11.07,-390.51,-60.07,1224.33,-71.4,266.83,-62.25,-24.34,28.43
资产总额,521.55亿,523.83亿,563.56亿,609.58亿,583.96亿,614.52亿,557.80亿,530.88亿,431.39亿,350.71亿
同比(%),-7.63,-7.05,-7.55,4.39,-4.97,10.17,5.07,23.06,23,25.69
负债总额,492.97亿,483.97亿,490.21亿,487.88亿,466.47亿,518.44亿,466.18亿,454.07亿,356.36亿,295.55亿
股东权益合计,28.58亿,39.86亿,73.35亿,121.70亿,117.48亿,96.08亿,91.62亿,76.82亿,75.02亿,55.16亿
同比(%),-55.94,-45.66,-39.73,3.59,22.27,4.87,19.28,2.39,36.01,100.48
经营活动产生的现金流量净额,2967.20万,4.02亿,3.13亿,13.62亿,23.64亿,17.43亿,29.52亿,12.96亿,-16.04亿,-4.69亿
基本每股收益(元),-0.43,-1.24,-1.44,0.17,0.70,-0.01,0.25,0.08,0.27,0.41
每股净资产(元),0.57,1.00,2.26,3.68,3.58,2.86,2.85,2.63,2.61,2.31
每股经营现金净流量(元),-,-,-,0.53,-,-,-,0.55,-0.68,-0.23
平均净资产收益率(%),-54.84,-76.12,-48.52,4.72,21.69,-0.40,8.67,3.14,11.11,23.19
销售毛利率(%),11.46,-,-,26.56,25.34,20.99,21.81,15.57,18.21,21.19
销售净利率(%),-99.63,-,-,22.29,38.79,3.2,12.35,3.32,9.55,11.41
资产负债率(%),94.52,92.39,86.98,80.04,79.88,84.36,83.57,85.53,82.61,84.27
流动比率,0.84,0.87,1.12,1.42,1.5,1.64,1.71,1.78,1.68,1.36
速动比率,0.2,0.21,0.26,0.4,0.45,0.45,0.52,0.52,0.37,0.33
