0,2019,2018,2017,2016,2015,2014
营业总收入,60.95亿,158.58亿,136.62亿,103.27亿,82.78亿,64.63亿
同比(%),4.78,16.07,32.29,24.75,28.08,-11.92
利润总额,6.43亿,28.67亿,24.12亿,12.43亿,8.28亿,5.56亿
净利润,4.82亿,20.08亿,17.87亿,9.95亿,6.14亿,3.82亿
同比(%),-4.17,12.37,79.6,62.05,60.73,12.35
资产总计,660.70亿,616.16亿,598.90亿,469.25亿,318.60亿,318.80亿
同比(%),7.51,2.88,27.63,47.28,-0.06,16.98
负债总计,516.69亿,476.64亿,505.26亿,413.42亿,270.17亿,279.90亿
所有者权益总计,144.02亿,139.52亿,93.64亿,55.82亿,48.43亿,38.90亿
同比(%),45.09,49,67.75,15.26,24.5,45.47
经营活动产生的现金流量净额,22.94亿,50.31亿,17.68亿,11.38亿,-5273.69万,-9721.63万
每股净资产(元),10.48,10.14,6.83,4.66,4.02,7.32
每股经营现金流(元),1.67,3.67,1.29,0.95,-0.04,-0.21
加权净资产收益率(%),3.44,14.49,19.08,17.85,12.73,11.13
毛利率(%),32.27,28.68,27.43,23.88,19.30,20.70
净利率(%),7.91,12.66,13.08,9.63,7.42,5.91
资产负债率(%),78.20,77.36,84.37,88.10,84.80,87.80
流动比率,1.17,1.14,1.16,1.26,1.11,1.10
速动比率,0.47,0.41,0.40,0.40,0.25,0.18
