0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,200.02亿,540.34亿,730.28亿,802.45亿,602.39亿,561.45亿,516.07亿,466.79亿,430.04亿,383.18亿
同比(%),-36.79,-26.01,-8.99,33.21,7.29,8.79,10.56,8.54,12.23,8.13
税前利润,-29.74亿,-103.72亿,168.97亿,214.72亿,165.96亿,194.01亿,158.69亿,74.83亿,61.96亿,101.26亿
净利润,-36.11亿,-133.73亿,90.98亿,122.49亿,92.33亿,83.58亿,67.80亿,30.50亿,23.02亿,50.91亿
同比(%),-207.66,-246.99,-25.72,32.66,10.47,23.27,122.33,32.5,-54.79,-13.16
资产总额,2627.87亿,2733.82亿,3165.60亿,3137.65亿,2732.32亿,2304.46亿,1633.58亿,1317.25亿,1173.13亿,1236.48亿
同比(%),-12.35,-13.64,0.89,14.83,18.57,41.07,24.01,12.29,-5.12,7.96
负债总额,1909.01亿,1976.55亿,2271.28亿,2367.95亿,2078.95亿,1754.65亿,1191.81亿,875.70亿,753.18亿,825.53亿
股东权益合计,718.86亿,757.27亿,894.31亿,769.70亿,653.36亿,549.81亿,441.76亿,441.55亿,419.95亿,410.95亿
同比(%),-21.59,-15.32,16.19,17.81,18.83,24.46,0.05,5.14,2.19,12.38
经营活动产生的现金流量净额,55.07亿,124.14亿,9.30亿,33.07亿,-145.51亿,26.28亿,29.53亿,68.87亿,71.36亿,-24.02亿
基本每股收益(元),-0.96,-3.83,1.73,2.44,1.94,1.84,1.55,0.59,0.36,1.22
每股净资产(元),0.65,0.77,1.30,12.97,11.35,10.53,9.28,9.01,8.76,8.59
每股经营现金净流量(元),-,0.24,0.02,0.84,-3.71,-,0.75,1.76,1.82,-0.61
平均净资产收益率(%),-11.65,-24.78,10.19,15.47,17.53,18.37,16.82,6.56,4.09,13.61
销售毛利率(%),10.03,1.85,26.05,30.04,30.48,43.95,40.09,26.49,25.14,32.44
销售净利率(%),-18.05,-24.75,12.46,15.26,15.33,14.89,13.14,6.53,5.35,13.29
资产负债率(%),72.64,72.3,71.75,75.47,76.09,76.14,72.96,66.48,64.2,66.76
流动比率,1.15,1.18,1.33,1.31,1.29,1.39,1.35,1.74,1.78,1.7
速动比率,0.59,0.61,0.7,0.71,0.66,0.7,0.67,0.82,0.57,0.5
