0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,620.44亿,2505.65亿,2233.75亿,1845.47亿,1510.26亿,1157.98亿,720.75亿,547.99亿,474.23亿,509.91亿
同比(%),-34.56,12.17,21.04,22.2,30.42,60.66,31.53,15.55,-7,22.84
税前利润,123.75亿,458.22亿,476.27亿,463.70亿,459.61亿,374.83亿,265.54亿,159.56亿,139.38亿,136.27亿
净利润,92.95亿,328.23亿,317.88亿,288.40亿,265.52亿,208.91亿,164.78亿,99.35亿,93.64亿,87.50亿
同比(%),-14.59,3.25,10.22,8.62,27.1,26.78,65.87,6.1,7.01,1.33
资产总额,7745.86亿,7867.74亿,8756.51亿,7651.59亿,6522.45亿,5068.84亿,3627.64亿,2248.30亿,1840.89亿,1681.56亿
同比(%),-12.87,-10.15,14.44,17.31,28.68,39.73,61.35,22.13,9.47,16.64
负债总额,5392.10亿,5535.95亿,6537.73亿,5724.35亿,4855.67亿,3660.66亿,2565.85亿,1497.15亿,1216.21亿,1178.84亿
股东权益合计,2353.75亿,2331.79亿,2218.78亿,1927.24亿,1666.78亿,1408.18亿,1061.79亿,751.15亿,624.68亿,502.72亿
同比(%),4.27,5.09,15.13,15.63,18.36,32.62,41.35,20.25,24.26,26.39
经营活动产生的现金流量净额,129.59亿,99.61亿,285.32亿,367.30亿,342.76亿,778.74亿,713.47亿,326.73亿,140.81亿,185.74亿
基本每股收益(元),1.32,4.08,4.05,3.41,3.13,2.78,2.17,1.57,1.54,1.53
每股净资产(元),23.14,22.62,20.57,17.88,15.70,13.75,11.95,10.57,9.45,8.22
每股经营现金净流量(元),-,1.59,4.70,6.06,-,-,-,5.59,2.41,3.20
平均净资产收益率(%),5.58,18.25,20.45,19.77,20.88,21.33,19.04,15.66,17.47,19.71
销售毛利率(%),22.4,21.17,25.31,29.28,33.63,34.14,33.9,29.08,27.44,26.51
销售净利率(%),14.98,13.1,14.23,15.63,17.58,18.04,22.86,18.13,19.75,17.16
资产负债率(%),69.61,70.36,74.66,74.81,74.45,72.22,70.73,66.59,66.07,70.1
流动比率,1.54,1.61,1.44,1.44,1.48,1.49,1.32,1.51,1.69,1.48
速动比率,0.61,0.64,0.53,0.5,0.49,0.5,0.4,0.42,0.54,0.41
